"Title: Poverty Rate for Adults Ages 19-64 by Sex | KFF State Health Facts"
"Timeframe: 2018"
"Location","Male","Female","Total",Footnotes
"United States","9804100","13488000","23292100","1"
"Alabama","178400","265900","444300"
"Alaska","23500","22800","46300"
"Arizona","241200","295000","536200"
"Arkansas","106300","172400","278700"
"California","1194500","1550900","2745400"
"Colorado","143100","183000","326100"
"Connecticut","82300","120600","202900"
"Delaware","27300","37900","65100"
"District of Columbia","26200","39000","65200"
"Florida","641100","863300","1504400"
"Georgia","306900","480300","787100"
"Hawaii","30700","40100","70900"
"Idaho","53400","62200","115600"
"Illinois","358300","494700","853000"
"Indiana","201400","282900","484300"
"Iowa","84500","115600","200200"
"Kansas","85000","111500","196500"
"Kentucky","179700","241200","420900"
"Louisiana","182200","272500","454700"
"Maine","38200","50300","88500"
"Maryland","119100","178700","297800"
"Massachusetts","169400","225200","394600"
"Michigan","343400","450600","794000"
"Minnesota","137000","173000","310000"
"Mississippi","123100","189300","312300"
"Missouri","188300","257300","445600"
"Montana","34300","39500","73800"
"Nebraska","53300","68200","121500"
"Nevada","95700","123500","219200"
"New Hampshire","25600","31600","57200"
"New Jersey","176400","257800","434200"
"New Mexico","97100","127400","224500"
"New York","606500","845400","1451900"
"North Carolina","318800","474100","792900"
"North Dakota","22500","26000","48500"
"Ohio","3.79E+05","515400","894500"
"Oklahoma","141300","187200","328400"
"Oregon","139600","168800","308400"
"Pennsylvania","375400","497600","873000"
"Rhode Island","31500","39000","70500"
"South Carolina","165800","245300","411000"
"South Dakota","30400","36600","67000"
"Tennessee","234800","336400","571200"
"Texas","870300","1284200","2154500"
"Utah","68200","93500","161700"
"Vermont","19500","21600","41200"
"Virginia","202100","304800","506900"
"Washington","206400","259000","465400"
"West Virginia","82100","103400","185500"
"Wisconsin","148300","202600","350900"
"Wyoming","14600","23200","37800"
"Puerto Rico","332500","425300","757800"

"Notes"
"The American Community Survey did not release the 1-year estimates for 2020 due to significant disruptions to data collection brought on by the coronavirus pandemic. "
" "
"The majority of our health coverage topics are based on analysis of the Census Bureau’s American Community Survey (ACS) by KFF. ACS includes a 1% sample of the US population and allows for precise state-level estimates.  "
""
"Data may not sum to totals due to rounding."
""
"The U.S. Census Bureau's poverty threshold for a family with two adults and one child was $25,249 in 2024. This is the official measurement of poverty used by the Federal Government, and the measure used for most poverty-based data presented on State Health Facts. The Department of Health and Human Services (HHS) produces simplified - but very similar - versions of these poverty thresholds called ""poverty guidelines"" that are used to assess eligibility for income-based programs such as Medicaid. For more information on measures of poverty, please see the detailed description provided by HHS: [http://aspe.hhs.gov/poverty/faq.cfm](http://aspe.hhs.gov/poverty/faq.cfm). For 2024 and historical thresholds, use [https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html](https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html)."

"Sources"
"KFF estimates based on the 2008-2024 American Community Survey, 1-Year Estimates."


Footnotes
"1. US total excludes Puerto Rico."
