"Title: Poverty Rate for Adults Ages 19-64 by Sex | KFF State Health Facts"
"Timeframe: 2024"
"Location","Male","Female","Total",Footnotes
"United States","9369000","12499500","21868600","1"
"Alabama","153400","252600","406000"
"Alaska","19300","19700","39000"
"Arizona","216600","255400","471900"
"Arkansas","109200","145800","255000"
"California","1124500","1404300","2528800"
"Colorado","143000","182700","325700"
"Connecticut","78400","117400","195800"
"Delaware","19400","28000","47400"
"District of Columbia","28400","35400","63800"
"Florida","613200","809700","1422900"
"Georgia","308700","418600","727300"
"Hawaii","32100","42300","74300"
"Idaho","51300","66600","117800"
"Illinois","345400","443700","789200"
"Indiana","178700","255900","434500"
"Iowa","94300","111900","206200"
"Kansas","70000","97600","167600"
"Kentucky","156300","218400","374700"
"Louisiana","177000","264900","441900"
"Maine","37400","47700","85200"
"Maryland","117400","174300","291700"
"Massachusetts","155000","215500","370500"
"Michigan","321600","414300","736000"
"Minnesota","136300","171700","308000"
"Mississippi","95000","163600","258600"
"Missouri","168700","237500","406200"
"Montana","31500","32500","64000"
"Nebraska","51900","73200","125100"
"Nevada","91400","120400","211900"
"New Hampshire","22900","33600","56500"
"New Jersey","194300","258600","452900"
"New Mexico","85200","98600","183900"
"New York","649900","816800","1466700"
"North Carolina","308000","424500","732500"
"North Dakota","21400","26800","48100"
"Ohio","335000","456000","791000"
"Oklahoma","145200","176400","321700"
"Oregon","132100","155000","287100"
"Pennsylvania","336000","451700","787700"
"Rhode Island","30600","41000","71600"
"South Carolina","152800","216400","369100"
"South Dakota","20800","32600","53400"
"Tennessee","213700","297500","511200"
"Texas","887600","1269700","2157300"
"Utah","75200","87600","162800"
"Vermont","10200","17100","27200"
"Virginia","197500","268500","466000"
"Washington","206200","251100","457300"
"West Virginia","68200","88000","156200"
"Wisconsin","134800","193100","327900"
"Wyoming","16000","17500","33500"
"Puerto Rico","266300","355900","622200"

"Notes"
"The American Community Survey did not release the 1-year estimates for 2020 due to significant disruptions to data collection brought on by the coronavirus pandemic. "
" "
"The majority of our health coverage topics are based on analysis of the Census Bureau’s American Community Survey (ACS) by KFF. ACS includes a 1% sample of the US population and allows for precise state-level estimates.  "
""
"Data may not sum to totals due to rounding."
""
"The U.S. Census Bureau's poverty threshold for a family with two adults and one child was $25,249 in 2024. This is the official measurement of poverty used by the Federal Government, and the measure used for most poverty-based data presented on State Health Facts. The Department of Health and Human Services (HHS) produces simplified - but very similar - versions of these poverty thresholds called ""poverty guidelines"" that are used to assess eligibility for income-based programs such as Medicaid. For more information on measures of poverty, please see the detailed description provided by HHS: [http://aspe.hhs.gov/poverty/faq.cfm](http://aspe.hhs.gov/poverty/faq.cfm). For 2024 and historical thresholds, use [https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html](https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html)."

"Sources"
"KFF estimates based on the 2008-2024 American Community Survey, 1-Year Estimates."


Footnotes
"1. US total excludes Puerto Rico."
