"Title: Poverty Rate for Adults Ages 19-64 by Sex | KFF State Health Facts"
"Timeframe: 2014"
"Location","Male","Female","Total",Footnotes
"United States","11735600","15671200","27406700","1"
"Alabama","210000","307300","517300"
"Alaska","26600","26900","53500"
"Arizona","292500","370600","663100"
"Arkansas","126200","170900","297100"
"California","1589200","1971400","3560600"
"Colorado","177600","209400","387000"
"Connecticut","81900","123500","205500"
"Delaware","27200","39200","66300"
"District of Columbia","25500","38800","64300"
"Florida","801600","1026300","1827900"
"Georgia","425100","587900","1012900"
"Hawaii","38800","50500","89300"
"Idaho","61700","72900","134500"
"Illinois","423300","599700","1023000"
"Indiana","228600","335400","564000"
"Iowa","96300","119000","215300"
"Kansas","101100","122700","223700"
"Kentucky","200700","263600","464300"
"Louisiana","196100","298600","494700"
"Maine","50300","66800","117100"
"Maryland","146700","197100","343700"
"Massachusetts","192400","259400","451800"
"Michigan","408900","520700","929600"
"Minnesota","163600","190800","354400"
"Mississippi","140700","205300","346000"
"Missouri","218100","304200","522300"
"Montana","47100","53500","100600"
"Nebraska","50400","76400","126800"
"Nevada","105600","132700","238300"
"New Hampshire","29300","42400","71700"
"New Jersey","220400","304300","524700"
"New Mexico","106600","133000","239700"
"New York","728500","982700","1711200"
"North Carolina","400700","562100","962800"
"North Dakota","22800","26800","49600"
"Ohio","4.29E+05","602800","1032000"
"Oklahoma","144800","209200","354000"
"Oregon","181200","207800","389000"
"Pennsylvania","433300","547600","980900"
"Rhode Island","32600","53700","86300"
"South Carolina","194300","284300","478600"
"South Dakota","29100","37000","66100"
"Tennessee","281400","388900","670300"
"Texas","963100","1411100","2374200"
"Utah","86400","109000","195500"
"Vermont","17000","21700","38800"
"Virginia","241900","326500","568400"
"Washington","241300","303400","544700"
"West Virginia","91900","112900","204800"
"Wisconsin","187800","237700","425600"
"Wyoming","18300","25000","43300"
"Puerto Rico","399600","493400","893000"

"Notes"
"The American Community Survey did not release the 1-year estimates for 2020 due to significant disruptions to data collection brought on by the coronavirus pandemic. "
" "
"The majority of our health coverage topics are based on analysis of the Census Bureau’s American Community Survey (ACS) by KFF. ACS includes a 1% sample of the US population and allows for precise state-level estimates.  "
""
"Data may not sum to totals due to rounding."
""
"The U.S. Census Bureau's poverty threshold for a family with two adults and one child was $25,249 in 2024. This is the official measurement of poverty used by the Federal Government, and the measure used for most poverty-based data presented on State Health Facts. The Department of Health and Human Services (HHS) produces simplified - but very similar - versions of these poverty thresholds called ""poverty guidelines"" that are used to assess eligibility for income-based programs such as Medicaid. For more information on measures of poverty, please see the detailed description provided by HHS: [http://aspe.hhs.gov/poverty/faq.cfm](http://aspe.hhs.gov/poverty/faq.cfm). For 2024 and historical thresholds, use [https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html](https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html)."

"Sources"
"KFF estimates based on the 2008-2024 American Community Survey, 1-Year Estimates."


Footnotes
"1. US total excludes Puerto Rico."
