"Title: Poverty Rate for Adults Ages 19-64 by Sex | KFF State Health Facts"
"Timeframe: 2010"
"Location","Male","Female","Total",Footnotes
"United States","11203000","14792300","25995300","1"
"Alabama","201400","289800","491200"
"Alaska","18600","25300","43900"
"Arizona","277200","335200","612400"
"Arkansas","123200","166900","290100"
"California","1458500","1778500","3237100"
"Colorado","174500","209900","384400"
"Connecticut","84200","120300","204400"
"Delaware","24500","32100","56600"
"District of Columbia","28100","42100","70100"
"Florida","787900","953400","1741300"
"Georgia","394100","549400","943500"
"Hawaii","33800","46500","80300"
"Idaho","62700","77800","140500"
"Illinois","414900","567600","982500"
"Indiana","229400","315900","545200"
"Iowa","93400","125100","218500"
"Kansas","86500","116500","203000"
"Kentucky","194200","262900","457000"
"Louisiana","167600","269500","437100"
"Maine","45400","57800","103200"
"Maryland","138300","184800","323100"
"Massachusetts","179900","254900","434800"
"Michigan","411800","521400","933200"
"Minnesota","146900","191900","338700"
"Mississippi","138700","202300","341100"
"Missouri","225000","290800","515700"
"Montana","37800","44400","82100"
"Nebraska","57600","69300","126900"
"Nevada","98200","125300","223500"
"New Hampshire","25000","40100","65100"
"New Jersey","200800","289500","490300"
"New Mexico","100800","118400","219100"
"New York","671900","927900","1599800"
"North Carolina","391800","523600","915400"
"North Dakota","20400","25800","46200"
"Ohio","4.27E+05","576200","1003200"
"Oklahoma","142600","190100","332700"
"Oregon","165900","200200","366100"
"Pennsylvania","406900","534300","941200"
"Rhode Island","38400","49000","87400"
"South Carolina","195700","267900","463600"
"South Dakota","30200","34300","64500"
"Tennessee","256500","354900","611500"
"Texas","958700","1334100","2292700"
"Utah","91800","110200","202000"
"Vermont","20100","24400","44500"
"Virginia","208900","307000","515900"
"Washington","234900","296700","531600"
"West Virginia","85300","110500","195800"
"Wisconsin","181200","230000","411300"
"Wyoming","13900","19900","33800"
"Puerto Rico","405000","507600","912600"

"Notes"
"The American Community Survey did not release the 1-year estimates for 2020 due to significant disruptions to data collection brought on by the coronavirus pandemic. "
" "
"The majority of our health coverage topics are based on analysis of the Census Bureau’s American Community Survey (ACS) by KFF. ACS includes a 1% sample of the US population and allows for precise state-level estimates.  "
""
"Data may not sum to totals due to rounding."
""
"The U.S. Census Bureau's poverty threshold for a family with two adults and one child was $25,249 in 2024. This is the official measurement of poverty used by the Federal Government, and the measure used for most poverty-based data presented on State Health Facts. The Department of Health and Human Services (HHS) produces simplified - but very similar - versions of these poverty thresholds called ""poverty guidelines"" that are used to assess eligibility for income-based programs such as Medicaid. For more information on measures of poverty, please see the detailed description provided by HHS: [http://aspe.hhs.gov/poverty/faq.cfm](http://aspe.hhs.gov/poverty/faq.cfm). For 2024 and historical thresholds, use [https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html](https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html)."

"Sources"
"KFF estimates based on the 2008-2024 American Community Survey, 1-Year Estimates."


Footnotes
"1. US total excludes Puerto Rico."
