"Title: Poverty Rate for Adults Ages 19-64 by Sex | KFF State Health Facts"
"Timeframe: 2017"
"Location","Male","Female","Total",Footnotes
"United States","10128300","13792600","23921000","1"
"Alabama","177000","268100","445000"
"Alaska","22300","25800","48100"
"Arizona","250400","309900","560300"
"Arkansas","110500","149900","260400"
"California","1240100","1639600","2879700"
"Colorado","152200","193400","345600"
"Connecticut","82500","108500","191000"
"Delaware","27800","42600","70400"
"District of Columbia","25200","39500","64700"
"Florida","671400","899200","1570600"
"Georgia","343400","499900","843300"
"Hawaii","32200","46200","78400"
"Idaho","57600","69000","126600"
"Illinois","390400","519300","909700"
"Indiana","214900","292500","507400"
"Iowa","80500","110000","190500"
"Kansas","85800","110300","196100"
"Kentucky","188100","254000","442100"
"Louisiana","193500","301000","494600"
"Maine","39700","53000","92700"
"Maryland","130200","188500","318700"
"Massachusetts","166300","234000","400200"
"Michigan","343100","458900","802000"
"Minnesota","142800","168300","311100"
"Mississippi","121900","185500","307500"
"Missouri","193500","256800","450300"
"Montana","36200","46100","82300"
"Nebraska","45700","64600","110300"
"Nevada","92800","125400","218200"
"New Hampshire","22600","33700","56300"
"New Jersey","193600","275400","469000"
"New Mexico","101500","123700","225200"
"New York","652900","864600","1517500"
"North Carolina","340300","485500","825800"
"North Dakota","19300","25300","44700"
"Ohio","3.79E+05","517000","896100"
"Oklahoma","143600","186700","330300"
"Oregon","143400","184000","327500"
"Pennsylvania","382400","514900","897300"
"Rhode Island","29600","39500","69200"
"South Carolina","177800","246400","424200"
"South Dakota","31400","28500","59900"
"Tennessee","231000","331000","562000"
"Texas","843600","1264100","2107700"
"Utah","75000","90600","165600"
"Vermont","16900","26300","43200"
"Virginia","205800","293100","498900"
"Washington","214200","254200","468400"
"West Virginia","87000","117800","204800"
"Wisconsin","162000","208000","370000"
"Wyoming","17300","22500","39800"
"Puerto Rico","356700","457800","814500"

"Notes"
"The American Community Survey did not release the 1-year estimates for 2020 due to significant disruptions to data collection brought on by the coronavirus pandemic. "
" "
"The majority of our health coverage topics are based on analysis of the Census Bureau’s American Community Survey (ACS) by KFF. ACS includes a 1% sample of the US population and allows for precise state-level estimates.  "
""
"Data may not sum to totals due to rounding."
""
"The U.S. Census Bureau's poverty threshold for a family with two adults and one child was $25,249 in 2024. This is the official measurement of poverty used by the Federal Government, and the measure used for most poverty-based data presented on State Health Facts. The Department of Health and Human Services (HHS) produces simplified - but very similar - versions of these poverty thresholds called ""poverty guidelines"" that are used to assess eligibility for income-based programs such as Medicaid. For more information on measures of poverty, please see the detailed description provided by HHS: [http://aspe.hhs.gov/poverty/faq.cfm](http://aspe.hhs.gov/poverty/faq.cfm). For 2024 and historical thresholds, use [https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html](https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html)."

"Sources"
"KFF estimates based on the 2008-2024 American Community Survey, 1-Year Estimates."


Footnotes
"1. US total excludes Puerto Rico."
