"Title: Poverty Rate for Adults Ages 19-64 by Sex | KFF State Health Facts"
"Timeframe: 2008"
"Location","Male","Female","Total",Footnotes
"United States","8930800","12475800","21406600","1"
"Alabama","146300","239800","386100"
"Alaska","13300","17400","30700"
"Arizona","209400","277100","486600"
"Arkansas","98200","149300","247600"
"California","1144200","1483100","2627300"
"Colorado","140100","184700","324800"
"Connecticut","69500","106400","175800"
"Delaware","18500","32600","51100"
"District of Columbia","22100","35000","57200"
"Florida","554900","724300","1279200"
"Georgia","298600","433700","732300"
"Hawaii","30400","41700","72100"
"Idaho","43700","66400","110100"
"Illinois","342100","484200","826200"
"Indiana","183200","260200","443400"
"Iowa","82400","114600","197000"
"Kansas","69200","99500","168700"
"Kentucky","166900","235200","402100"
"Louisiana","142300","245500","387800"
"Maine","38000","58600","96600"
"Maryland","101900","147900","249800"
"Massachusetts","160300","204000","364300"
"Michigan","349500","465500","814900"
"Minnesota","133000","164400","297400"
"Mississippi","114200","185100","299300"
"Missouri","174400","257000","431400"
"Montana","36100","40300","76400"
"Nebraska","45900","57800","103700"
"Nevada","72200","90900","163100"
"New Hampshire","24400","32800","57100"
"New Jersey","151000","236400","387300"
"New Mexico","72200","99200","171400"
"New York","590400","825800","1416200"
"North Carolina","288600","420400","709000"
"North Dakota","16300","22000","38400"
"Ohio","3.48E+05","494200","841900"
"Oklahoma","124100","171800","295900"
"Oregon","133900","168000","301800"
"Pennsylvania","334700","466100","800900"
"Rhode Island","27700","37900","65600"
"South Carolina","147200","225900","373100"
"South Dakota","20700","27700","48400"
"Tennessee","207700","307000","514600"
"Texas","778300","1126500","1904800"
"Utah","63000","83600","146700"
"Vermont","17100","23300","40400"
"Virginia","169700","257200","426800"
"Washington","182400","240400","422700"
"West Virginia","77500","102400","179800"
"Wisconsin","143900","187300","331300"
"Wyoming","11500","17900","29500"
"Puerto Rico","417100","536900","954000"

"Notes"
"The American Community Survey did not release the 1-year estimates for 2020 due to significant disruptions to data collection brought on by the coronavirus pandemic. "
" "
"The majority of our health coverage topics are based on analysis of the Census Bureau’s American Community Survey (ACS) by KFF. ACS includes a 1% sample of the US population and allows for precise state-level estimates.  "
""
"Data may not sum to totals due to rounding."
""
"The U.S. Census Bureau's poverty threshold for a family with two adults and one child was $25,249 in 2024. This is the official measurement of poverty used by the Federal Government, and the measure used for most poverty-based data presented on State Health Facts. The Department of Health and Human Services (HHS) produces simplified - but very similar - versions of these poverty thresholds called ""poverty guidelines"" that are used to assess eligibility for income-based programs such as Medicaid. For more information on measures of poverty, please see the detailed description provided by HHS: [http://aspe.hhs.gov/poverty/faq.cfm](http://aspe.hhs.gov/poverty/faq.cfm). For 2024 and historical thresholds, use [https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html](https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html)."

"Sources"
"KFF estimates based on the 2008-2024 American Community Survey, 1-Year Estimates."


Footnotes
"1. US total excludes Puerto Rico."
