"Title: Poverty Rate for Adults Ages 19-64 by Sex | KFF State Health Facts"
"Timeframe: 2011"
"Location","Male","Female","Total",Footnotes
"United States","11767800","15575100","27343000","1"
"Alabama","203800","296700","500500"
"Alaska","17000","22800","39900"
"Arizona","302400","370200","672600"
"Arkansas","121700","174300","296000"
"California","1571400","1923400","3494800"
"Colorado","181900","216400","398300"
"Connecticut","89700","124900","214600"
"Delaware","21800","37700","59400"
"District of Columbia","28000","39700","67800"
"Florida","815100","992200","1807300"
"Georgia","435600","593400","1028900"
"Hawaii","40100","50300","90400"
"Idaho","60600","81200","141800"
"Illinois","450700","592300","1043000"
"Indiana","236100","326400","562500"
"Iowa","97500","123200","220700"
"Kansas","93300","130000","223300"
"Kentucky","196300","266000","462300"
"Louisiana","191800","304800","496600"
"Maine","47700","67000","114700"
"Maryland","135900","195700","331600"
"Massachusetts","180100","260900","441000"
"Michigan","434600","532500","967000"
"Minnesota","160500","196700","357300"
"Mississippi","141300","214100","355400"
"Missouri","225200","309900","535100"
"Montana","40900","41300","82200"
"Nebraska","49400","70500","120000"
"Nevada","113300","133900","247200"
"New Hampshire","30400","38800","69200"
"New Jersey","202500","292000","494500"
"New Mexico","111100","127100","238200"
"New York","719900","996400","1716400"
"North Carolina","395600","546500","942100"
"North Dakota","20900","25800","46700"
"Ohio","4.48E+05","6.00E+05","1047800"
"Oklahoma","157700","204500","362200"
"Oregon","180600","223500","404100"
"Pennsylvania","409900","555800","965600"
"Rhode Island","33400","49800","83200"
"South Carolina","197800","282800","480600"
"South Dakota","24400","29500","53900"
"Tennessee","267700","371800","639600"
"Texas","1000700","1400000","2400700"
"Utah","95800","122100","217900"
"Vermont","17700","22600","40300"
"Virginia","220400","314300","534700"
"Washington","253700","306600","560300"
"West Virginia","90700","115300","206000"
"Wisconsin","190200","239800","430000"
"Wyoming","15100","21800","36900"
"Puerto Rico","410900","512600","923400"

"Notes"
"The American Community Survey did not release the 1-year estimates for 2020 due to significant disruptions to data collection brought on by the coronavirus pandemic. "
" "
"The majority of our health coverage topics are based on analysis of the Census Bureau’s American Community Survey (ACS) by KFF. ACS includes a 1% sample of the US population and allows for precise state-level estimates.  "
""
"Data may not sum to totals due to rounding."
""
"The U.S. Census Bureau's poverty threshold for a family with two adults and one child was $25,249 in 2024. This is the official measurement of poverty used by the Federal Government, and the measure used for most poverty-based data presented on State Health Facts. The Department of Health and Human Services (HHS) produces simplified - but very similar - versions of these poverty thresholds called ""poverty guidelines"" that are used to assess eligibility for income-based programs such as Medicaid. For more information on measures of poverty, please see the detailed description provided by HHS: [http://aspe.hhs.gov/poverty/faq.cfm](http://aspe.hhs.gov/poverty/faq.cfm). For 2024 and historical thresholds, use [https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html](https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html)."

"Sources"
"KFF estimates based on the 2008-2024 American Community Survey, 1-Year Estimates."


Footnotes
"1. US total excludes Puerto Rico."
