"Title: Poverty Rate for Adults Ages 19-64 by Sex | KFF State Health Facts"
"Timeframe: 2021"
"Location","Male","Female","Total",Footnotes
"United States","9800600","13112900","22913400","1"
"Alabama","167100","266100","433200"
"Alaska","20500","23400","44000"
"Arizona","220000","276100","496100"
"Arkansas","104700","152600","257400"
"California","1157500","1477600","2635000"
"Colorado","151200","187700","338900"
"Connecticut","89500","110400","199900"
"Delaware","23000","39000","62100"
"District of Columbia","26000","36600","62600"
"Florida","650900","866800","1517700"
"Georgia","320200","472600","792800"
"Hawaii","41000","44500","85500"
"Idaho","48100","63100","111200"
"Illinois","355900","472800","828700"
"Indiana","184000","263100","447100"
"Iowa","85100","116900","202000"
"Kansas","85500","111200","196700"
"Kentucky","174400","229800","404300"
"Louisiana","193100","286500","479600"
"Maine","44800","52200","97000"
"Maryland","141000","193200","334200"
"Massachusetts","169800","228700","398500"
"Michigan","315500","413200","728700"
"Minnesota","126800","159200","286000"
"Mississippi","116100","171700","287700"
"Missouri","176200","253600","429800"
"Montana","35200","35500","70600"
"Nebraska","52100","58000","110000"
"Nevada","111900","132200","244100"
"New Hampshire","19700","31600","51300"
"New Jersey","206700","291400","498100"
"New Mexico","98800","118200","217100"
"New York","647400","845000","1492400"
"North Carolina","323700","445500","769100"
"North Dakota","22000","21900","43900"
"Ohio","344300","491600","836000"
"Oklahoma","142500","185300","327900"
"Oregon","147000","173500","320500"
"Pennsylvania","352600","467400","820000"
"Rhode Island","28700","40400","69100"
"South Carolina","173900","235200","409100"
"South Dakota","28000","32900","60900"
"Tennessee","225700","308700","534400"
"Texas","907500","1248100","2155600"
"Utah","69500","93300","162800"
"Vermont","19100","23000","42000"
"Virginia","203900","285100","489000"
"Washington","206600","254300","460900"
"West Virginia","75500","99800","175300"
"Wisconsin","152500","203900","356400"
"Wyoming","17800","22000","39800"
"Puerto Rico","308700","405000","713800"

"Notes"
"The American Community Survey did not release the 1-year estimates for 2020 due to significant disruptions to data collection brought on by the coronavirus pandemic. "
" "
"The majority of our health coverage topics are based on analysis of the Census Bureau’s American Community Survey (ACS) by KFF. ACS includes a 1% sample of the US population and allows for precise state-level estimates.  "
""
"Data may not sum to totals due to rounding."
""
"The U.S. Census Bureau's poverty threshold for a family with two adults and one child was $25,249 in 2024. This is the official measurement of poverty used by the Federal Government, and the measure used for most poverty-based data presented on State Health Facts. The Department of Health and Human Services (HHS) produces simplified - but very similar - versions of these poverty thresholds called ""poverty guidelines"" that are used to assess eligibility for income-based programs such as Medicaid. For more information on measures of poverty, please see the detailed description provided by HHS: [http://aspe.hhs.gov/poverty/faq.cfm](http://aspe.hhs.gov/poverty/faq.cfm). For 2024 and historical thresholds, use [https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html](https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html)."

"Sources"
"KFF estimates based on the 2008-2024 American Community Survey, 1-Year Estimates."


Footnotes
"1. US total excludes Puerto Rico."
