"Title: Poverty Rate by Race/Ethnicity | KFF State Health Facts"
"Timeframe: 2017"
"Location","White","Black","Hispanic","Asian/Native Hawaiian or Pacific Islander","American Indian or Alaska Native","Multiple Races","Total",Footnotes
"United States","18525600","8796700","11129000","2041200","535200","1359100","42386900","1"
"Alabama","363900","338300","59800","12600","N/A","19600","796000"
"Alaska","35700","N/A","N/A","N/A","23400","7100","83200"
"Arizona","379300","62300","422800","25400","93900","24700","1008400"
"Arkansas","273500","120500","52300","8300","3800","12700","471000"
"California","1276000","420500","2649200","591100","24500","156500","5117700"
"Colorado","307300","27900","191600","15200","3900","17300","563300"
"Connecticut","135400","49400","115300","13700","N/A","11000","326000"
"Delaware","55000","37700","17300","4600","N/A","N/A","1.20E+05"
"District of Columbia","14000","75200","11200","4700","N/A","N/A","107900"
"Florida","1103800","673300","938600","78400","7300","76900","2878300"
"Georgia","528400","681100","232300","39500","3100","49800","1534200"
"Hawaii","28600","N/A","25900","61800","N/A","25400","143700"
"Idaho","164100","5700","39100","3800","3500","5200","221400"
"Illinois","681900","444600","330900","77800","1900","44600","1581700"
"Indiana","564200","152900","96000","23300","1600","34700","872700"
"Iowa","228300","30500","25800","12300","N/A","11200","309400"
"Kansas","209200","41500","55900","14200","3300","13300","337300"
"Kentucky","591300","84400","38700","10400","N/A","22100","748100"
"Louisiana","325000","486600","57300","13900","5300","18500","906500"
"Maine","129400","3700","4000","N/A","3100","5200","148400"
"Maryland","190500","229700","84000","27500","N/A","22100","555500"
"Massachusetts","319800","75400","198900","67700","N/A","27300","689800"
"Michigan","797600","390700","103000","28500","6500","55500","1381900"
"Minnesota","304300","96500","66800","33700","13300","17000","531400"
"Mississippi","195400","340400","14200","4600","N/A","9000","568300"
"Missouri","529300","156200","42800","26100","3500","29300","787200"
"Montana","94800","N/A","8200","N/A","16400","6100","129200"
"Nebraska","112600","22200","42900","10100","2400","7900","198000"
"Nevada","130700","75700","134000","27600","7200","11700","386900"
"New Hampshire","81700","3600","N/A","3200","N/A","N/A","96800"
"New Jersey","272800","196200","313000","56200","N/A","19900","859300"
"New Mexico","89500","7900","231100","1200","62200","7500","399400"
"New York","985700","568100","806100","251800","11500","75100","2698400"
"North Carolina","649900","453900","258100","37900","26800","52200","1478800"
"North Dakota","49200","N/A","4100","N/A","13300","2400","71100"
"Ohio","951300","385300","111500","35100","5300","81000","1569400"
"Oklahoma","309200","67700","91600","8200","57800","50400","584900"
"Oregon","358700","18500","100200","26100","8600","24700","536800"
"Pennsylvania","863700","328100","253200","59600","3900","44400","1552900"
"Rhode Island","58500","12200","38000","5200","N/A","4300","118800"
"South Carolina","326400","314600","73400","10600","3100","22400","750500"
"South Dakota","54300","N/A","4800","N/A","37400","N/A","102200"
"Tennessee","593700","260100","85500","13800","2900","27900","983900"
"Texas","983800","607300","2237600","132200","12400","65700","4039000"
"Utah","190400","6500","66800","13200","7800","7500","292100"
"Vermont","60200","N/A","N/A","N/A","N/A","N/A","66700"
"Virginia","411700","271200","93500","36400","N/A","37900","852400"
"Washington","437500","49600","193200","63700","19900","46800","810800"
"West Virginia","299300","19600","5400","N/A","N/A","8200","336500"
"Wisconsin","380900","95700","78400","23900","11600","25200","615600"
"Wyoming","48000","N/A","12000","N/A","3400","N/A","66500"
"Puerto Rico","7100","N/A","1461600","N/A","N/A","N/A","1471100"

"Notes"
"The American Community Survey did not release the 1-year estimates for 2020 due to significant disruptions to data collection brought on by the coronavirus pandemic. "
""
"Data are for the total population. Data may not sum to totals due to rounding."
""
"Data include the civilian noninstitutionalized population in the United States. "
""
"The U.S. Census Bureau's poverty threshold for a family with two adults and one child was $25,249 in 2024. This is the official measurement of poverty used by the Federal Government, and the measure used for most poverty-based data presented on State Health Facts. The Department of Health and Human Services (HHS) produces simplified - but very similar - versions of these poverty thresholds called ""poverty guidelines"" that are used to assess eligibility for income-based programs such as Medicaid. For more information on measures of poverty, please see the detailed description provided by HHS: [http://aspe.hhs.gov/poverty/faq.cfm](http://aspe.hhs.gov/poverty/faq.cfm). For 2024 and historical thresholds, use [https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html](https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html)."

"Sources"
"KFF estimates based on the 2008-2024 American Community Survey, 1-Year Estimates."

"Definitions"
"Persons of Hispanic origin may be of any race; all other racial/ethnic groups are non-Hispanic. "
""
"*N/A*: Estimates with relative standard errors greater than 30% are not provided."


Footnotes
"1. US total excludes Puerto Rico."
