"Title: Poverty Rate by Race/Ethnicity | KFF State Health Facts"
"Timeframe: 2013"
"Location","White","Black","Hispanic","Asian/Native Hawaiian or Pacific Islander","American Indian or Alaska Native","Multiple Races","Total",Footnotes
"United States","21287300","10258400","13029900","2064500","588700","1427600","48656500","1"
"Alabama","405900","389600","65800","9700","2500","17600","891200"
"Alaska","23700","N/A","6400","N/A","25200","N/A","63800"
"Arizona","414000","60600","571600","31300","97100","27600","1202200"
"Arkansas","314700","153000","61900","4700","3600","13900","552000"
"California","1551800","542300","3340400","637300","31200","166000","6269000"
"Colorado","329900","43900","253500","15000","3800","18700","664800"
"Connecticut","148100","66500","126900","15100","N/A","9100","365800"
"Delaware","50100","30600","29700","N/A","N/A","4700","1.17E+05"
"District of Columbia","17000","84800","9800","4500","N/A","2100","118200"
"Florida","1277700","816300","999100","68700","9900","64100","3235700"
"Georgia","667600","789100","274100","50800","3500","42600","1827800"
"Hawaii","30700","N/A","12500","66200","N/A","34100","144700"
"Idaho","188700","N/A","45000","N/A","4100","7400","250600"
"Illinois","737500","555500","416500","71300","3500","40600","1824900"
"Indiana","651000","172200","124600","21400","N/A","37400","1008300"
"Iowa","291100","30800","37700","12500","N/A","14600","389200"
"Kansas","233100","42100","72800","11000","3800","18000","380800"
"Kentucky","622800","90700","38200","7300","N/A","23100","783800"
"Louisiana","316800","481800","52300","9300","5800","17900","883900"
"Maine","152000","7200","4600","N/A","2500","4500","172100"
"Maryland","214500","254000","68000","32700","4500","21700","595500"
"Massachusetts","405100","82200","201900","48300","N/A","26800","766900"
"Michigan","935800","451600","123900","33900","9500","72100","1626800"
"Minnesota","356500","94500","62400","42500","18300","22000","596200"
"Mississippi","251600","410200","24100","3400","4700","11000","705100"
"Missouri","646900","195100","55900","19100","6200","32700","955800"
"Montana","127800","N/A","9700","N/A","26800","6300","171700"
"Nebraska","149300","28600","40400","5200","4600","7600","235600"
"Nevada","154600","60200","169400","25100","6400","14900","430800"
"New Hampshire","94400","N/A","8300","4800","N/A","N/A","112300"
"New Jersey","319400","229200","365800","44100","N/A","30100","991100"
"New Mexico","98700","7000","283600","4700","75500","5700","475100"
"New York","1127200","657100","920400","284700","12100","84700","3086100"
"North Carolina","765800","560800","275100","34500","29600","50700","1716500"
"North Dakota","55700","N/A","3200","N/A","14900","N/A","82900"
"Ohio","1117700","443400","91800","22000","3800","72600","1751300"
"Oklahoma","329300","82300","83600","11400","63600","53300","623600"
"Oregon","422600","19900","126400","30700","8200","27600","635500"
"Pennsylvania","950900","363200","268900","69800","N/A","47900","1702300"
"Rhode Island","61900","14600","52500","3800","N/A","7300","141900"
"South Carolina","375400","376800","71900","13600","N/A","20100","859700"
"South Dakota","65900","N/A","5200","2200","32100","N/A","111600"
"Tennessee","687000","316300","99700","9000","2000","32200","1146100"
"Texas","1059400","721000","2533300","116700","9100","78300","4517700"
"Utah","229600","7800","92400","19100","7400","8800","365000"
"Vermont","72300","N/A","N/A","N/A","N/A","2000","77400"
"Virginia","448600","312200","107400","34700","N/A","31100","935300"
"Washington","532200","57700","217100","72200","18900","50700","948700"
"West Virginia","289500","16900","6600","N/A","N/A","10700","325500"
"Wisconsin","477400","124800","103700","23800","12400","19300","761300"
"Wyoming","39900","N/A","13200","N/A","2700","N/A","59900"
"Puerto Rico","7100","N/A","1627300","N/A","N/A","2800","1638700"

"Notes"
"The American Community Survey did not release the 1-year estimates for 2020 due to significant disruptions to data collection brought on by the coronavirus pandemic. "
""
"Data are for the total population. Data may not sum to totals due to rounding."
""
"Data include the civilian noninstitutionalized population in the United States. "
""
"The U.S. Census Bureau's poverty threshold for a family with two adults and one child was $25,249 in 2024. This is the official measurement of poverty used by the Federal Government, and the measure used for most poverty-based data presented on State Health Facts. The Department of Health and Human Services (HHS) produces simplified - but very similar - versions of these poverty thresholds called ""poverty guidelines"" that are used to assess eligibility for income-based programs such as Medicaid. For more information on measures of poverty, please see the detailed description provided by HHS: [http://aspe.hhs.gov/poverty/faq.cfm](http://aspe.hhs.gov/poverty/faq.cfm). For 2024 and historical thresholds, use [https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html](https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html)."

"Sources"
"KFF estimates based on the 2008-2024 American Community Survey, 1-Year Estimates."

"Definitions"
"Persons of Hispanic origin may be of any race; all other racial/ethnic groups are non-Hispanic. "
""
"*N/A*: Estimates with relative standard errors greater than 30% are not provided."


Footnotes
"1. US total excludes Puerto Rico."
