"Title: Poverty Rate by Race/Ethnicity | KFF State Health Facts"
"Timeframe: 2023"
"Location","White","Black","Hispanic","Asian/Native Hawaiian or Pacific Islander","American Indian or Alaska Native","Multiple Races","Total",Footnotes
"United States","17636900","7816500","10578000","1979400","402300","2177900","40591100","1"
"Alabama","350600","318600","63700","7600","1900","29600","772000"
"Alaska","32500","N/A","4600","N/A","21000","8800","74300"
"Arizona","351500","55500","364600","23600","68600","38700","902300"
"Arkansas","250000","118400","36900","7400","1800","37500","452100"
"California","1160800","383200","2204200","582100","16600","221100","4568100"
"Colorado","275300","32200","179900","20300","3700","25400","536800"
"Connecticut","135100","56100","139300","12600","N/A","16900","360500"
"Delaware","44200","35800","20400","N/A","N/A","4800","107300"
"District of Columbia","10200","68700","4300","2600","N/A","3800","89600"
"Florida","1034700","563100","913100","67100","3000","131800","2712800"
"Georgia","493900","617000","210300","53000","2500","78700","1455400"
"Hawaii","31700","N/A","18000","59400","N/A","32700","146700"
"Idaho","138000","N/A","36000","2600","3100","7500","191300"
"Illinois","589600","355400","323100","76400","2900","61700","1409100"
"Indiana","480900","142400","111800","20700","N/A","59200","816600"
"Iowa","249300","22100","46800","7700","N/A","16900","344500"
"Kansas","196500","23400","70800","8100","N/A","22900","323300"
"Kentucky","544500","78800","54900","11700","1100","41900","732900"
"Louisiana","322200","383100","65800","14800","4600","42400","832900"
"Maine","122500","5300","2700","N/A","1200","8800","141800"
"Maryland","180500","236200","96900","27000","N/A","28900","570600"
"Massachusetts","335700","76500","183700","55700","1300","53900","706900"
"Michigan","776300","329600","101300","35700","4600","78800","1326300"
"Minnesota","302500","97500","52900","27800","11100","30200","522000"
"Mississippi","182200","271200","25600","3900","4200","20600","507700"
"Missouri","474800","119400","45400","14400","2400","48900","705300"
"Montana","89700","N/A","8600","N/A","16900","9000","125500"
"Nebraska","121700","14500","37900","5200","2200","13100","194600"
"Nevada","132000","52100","124800","27900","3200","33100","372900"
"New Hampshire","77400","N/A","7600","N/A","N/A","5700","94300"
"New Jersey","308100","166900","323900","49600","N/A","36900","886400"
"New Mexico","77000","6900","207700","2800","53100","12800","360300"
"New York","1015800","475800","799600","252200","8500","127500","2679400"
"North Carolina","597800","397700","234100","35200","21100","67900","1353800"
"North Dakota","55300","N/A","5100","N/A","9500","4000","76000"
"Ohio","903600","364300","112400","39300","2000","106800","1528400"
"Oklahoma","314800","69400","110800","13400","48100","68900","625500"
"Oregon","325700","21200","101300","21500","4500","34400","508600"
"Pennsylvania","840600","272800","245400","59600","N/A","82300","1502800"
"Rhode Island","62800","4900","30700","2800","N/A","9300","110500"
"South Carolina","303300","277800","81800","8100","2000","41300","714300"
"South Dakota","56600","N/A","7800","N/A","27800","7500","111900"
"Tennessee","573000","232500","112400","9300","1400","48900","977400"
"Texas","958500","642700","2192200","152600","6600","123700","4076300"
"Utah","186000","N/A","76700","18800","5500","17200","310500"
"Vermont","54500","N/A","N/A","N/A","N/A","4700","61900"
"Virginia","404800","251400","111300","39800","2300","47200","856800"
"Washington","417600","51200","165000","59000","12300","69400","774500"
"West Virginia","244600","14100","4500","N/A","N/A","19900","285300"
"Wisconsin","399700","80200","88600","20600","7300","31300","627700"
"Wyoming","50000","N/A","10000","N/A","1800","3000","66500"
"Puerto Rico","4500","N/A","1240800","N/A","N/A","2100","1249700"

"Notes"
"The American Community Survey did not release the 1-year estimates for 2020 due to significant disruptions to data collection brought on by the coronavirus pandemic. "
""
"Data are for the total population. Data may not sum to totals due to rounding."
""
"Data include the civilian noninstitutionalized population in the United States. "
""
"The U.S. Census Bureau's poverty threshold for a family with two adults and one child was $25,249 in 2024. This is the official measurement of poverty used by the Federal Government, and the measure used for most poverty-based data presented on State Health Facts. The Department of Health and Human Services (HHS) produces simplified - but very similar - versions of these poverty thresholds called ""poverty guidelines"" that are used to assess eligibility for income-based programs such as Medicaid. For more information on measures of poverty, please see the detailed description provided by HHS: [http://aspe.hhs.gov/poverty/faq.cfm](http://aspe.hhs.gov/poverty/faq.cfm). For 2024 and historical thresholds, use [https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html](https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html)."
"The increase in the count of people who identify as multiracial in 2021 is largely due to improvements to the design of the two separate questions for race and ethnicity, data processing, and coding, which enabled a more thorough and accurate depiction of how people prefer to self-identify."

"Sources"
"KFF estimates based on the 2008-2024 American Community Survey, 1-Year Estimates."

"Definitions"
"Persons of Hispanic origin may be of any race; all other racial/ethnic groups are non-Hispanic. "
""
"*N/A*: Estimates with relative standard errors greater than 30% are not provided."


Footnotes
"1. US total excludes Puerto Rico."
