"Title: Poverty Rate by Race/Ethnicity | KFF State Health Facts"
"Timeframe: 2024"
"Location","White","Black","Hispanic","Asian/Native Hawaiian or Pacific Islander","American Indian or Alaska Native","Multiple Races","Total",Footnotes
"United States","17051400","7717100","10717800","2072400","393800","2231000","40183500","1"
"Alabama","363200","289900","65900","6700","2200","37400","765300"
"Alaska","20900","N/A","7100","8500","28300","8500","75000"
"Arizona","340600","57000","334000","29100","60800","44200","865600"
"Arkansas","262600","101400","58400","7600","N/A","40500","471400"
"California","1154500","348500","2234200","586200","16000","223100","4562400"
"Colorado","271500","38700","189900","17400","2900","31900","552400"
"Connecticut","133500","55300","136500","11800","1400","20700","359100"
"Delaware","41400","32000","12900","5900","N/A","N/A","99200"
"District of Columbia","11200","87100","9700","5100","N/A","N/A","118400"
"Florida","1028100","597400","904000","66600","2100","138300","2736600"
"Georgia","455100","585200","208400","47400","N/A","63400","1361400"
"Hawaii","31000","N/A","15000","60000","N/A","29700","136800"
"Idaho","145100","N/A","37600","N/A","N/A","13900","203900"
"Illinois","562600","369100","336000","78000","2300","65200","1413200"
"Indiana","500000","121000","102400","25700","N/A","51400","801200"
"Iowa","239700","31800","42300","11700","N/A","27300","354300"
"Kansas","180900","28700","61300","8400","1300","23300","303900"
"Kentucky","497000","67800","51400","12600","N/A","47300","677200"
"Louisiana","291300","389500","84000","10400","2300","56800","834300"
"Maine","126200","N/A","4100","N/A","1700","8300","147700"
"Maryland","166200","221000","92200","34700","N/A","29800","545400"
"Massachusetts","308600","70600","185900","47400","N/A","55500","668400"
"Michigan","759200","325000","116900","38800","8000","95200","1343100"
"Minnesota","308300","96100","38500","33400","14100","33400","523800"
"Mississippi","179900","270100","24800","5400","4600","20700","505500"
"Missouri","462600","139600","63800","19300","2400","51800","739600"
"Montana","75700","N/A","9400","N/A","16400","8600","110900"
"Nebraska","129900","19100","50900","10800","3700","13500","227800"
"Nevada","120900","65000","132800","30700","3800","27200","380300"
"New Hampshire","77900","N/A","5500","N/A","N/A","8100","97500"
"New Jersey","269200","142300","355200","61600","N/A","36800","865700"
"New Mexico","78900","10900","196900","6600","43700","11600","348600"
"New York","1001700","539700","780200","264000","8500","117700","2711800"
"North Carolina","575900","389500","263900","36300","17000","68200","1350700"
"North Dakota","53800","N/A","8700","N/A","9100","7100","88800"
"Ohio","850000","340200","104500","41100","3200","109200","1448100"
"Oklahoma","299800","58300","95600","17700","53000","60700","585200"
"Oregon","303000","11600","104000","22200","4800","38700","484200"
"Pennsylvania","806400","264400","250400","66700","700","80000","1468600"
"Rhode Island","53700","10500","53100","4200","N/A","7800","129600"
"South Carolina","298200","266800","82800","9500","1400","46600","705300"
"South Dakota","50300","N/A","5100","N/A","30000","4700","94800"
"Tennessee","525100","237300","115800","13700","N/A","54300","947100"
"Texas","961900","651700","2208200","152500","7700","127200","4109200"
"Utah","175300","10600","63800","9100","4800","10500","274200"
"Vermont","39400","N/A","N/A","N/A","N/A","4300","46800"
"Virginia","398000","213400","130000","45400","N/A","51700","841700"
"Washington","417300","44800","188300","58200","11400","52700","772700"
"West Virginia","236300","10400","7100","1100","N/A","20700","276300"
"Wisconsin","368700","88200","78700","23100","6700","31200","596500"
"Wyoming","43100","N/A","7500","N/A","1500","2500","55900"
"Puerto Rico","8000","N/A","1183200","N/A","N/A","3700","1196200"

"Notes"
"The American Community Survey did not release the 1-year estimates for 2020 due to significant disruptions to data collection brought on by the coronavirus pandemic. "
""
"Data are for the total population. Data may not sum to totals due to rounding."
""
"Data include the civilian noninstitutionalized population in the United States. "
""
"The U.S. Census Bureau's poverty threshold for a family with two adults and one child was $25,249 in 2024. This is the official measurement of poverty used by the Federal Government, and the measure used for most poverty-based data presented on State Health Facts. The Department of Health and Human Services (HHS) produces simplified - but very similar - versions of these poverty thresholds called ""poverty guidelines"" that are used to assess eligibility for income-based programs such as Medicaid. For more information on measures of poverty, please see the detailed description provided by HHS: [http://aspe.hhs.gov/poverty/faq.cfm](http://aspe.hhs.gov/poverty/faq.cfm). For 2024 and historical thresholds, use [https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html](https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html)."
"The increase in the count of people who identify as multiracial in 2021 is largely due to improvements to the design of the two separate questions for race and ethnicity, data processing, and coding, which enabled a more thorough and accurate depiction of how people prefer to self-identify."

"Sources"
"KFF estimates based on the 2008-2024 American Community Survey, 1-Year Estimates."

"Definitions"
"Persons of Hispanic origin may be of any race; all other racial/ethnic groups are non-Hispanic. "
""
"*N/A*: Estimates with relative standard errors greater than 30% are not provided."


Footnotes
"1. US total excludes Puerto Rico."
