"Title: Poverty Rate by Race/Ethnicity | KFF State Health Facts"
"Timeframe: 2015"
"Location","White","Black","Hispanic","Asian/Native Hawaiian or Pacific Islander","American Indian or Alaska Native","Multiple Races","Total",Footnotes
"United States","19980100","9616900","12479300","2084800","524300","1391900","46077300","1"
"Alabama","415800","383800","64700","7000","N/A","20000","893600"
"Alaska","33000","N/A","N/A","N/A","22900","5900","73100"
"Arizona","422200","64200","521700","27300","96200","22300","1153900"
"Arkansas","306700","148700","75100","8700","4100","16100","559400"
"California","1467400","468900","3126000","632900","25300","158600","5879000"
"Colorado","300500","39100","222200","28100","4000","20900","614700"
"Connecticut","137700","64000","136200","9300","N/A","9700","357100"
"Delaware","46100","43600","24900","3400","N/A","6200","1.24E+05"
"District of Columbia","15500","75400","8700","2600","N/A","N/A","104400"
"Florida","1212500","753800","1006200","66500","5200","65800","3110100"
"Georgia","597800","761000","250200","40200","N/A","40400","1694000"
"Hawaii","29900","N/A","23400","64500","N/A","27600","148500"
"Idaho","172500","N/A","40500","N/A","4100","6800","228500"
"Illinois","679200","498600","427400","76700","N/A","41100","1724500"
"Indiana","617000","171700","116100","24200","N/A","35400","967000"
"Iowa","273900","33900","52600","17500","3200","8000","389000"
"Kansas","216200","41500","68200","13400","4200","21000","364600"
"Kentucky","608100","96800","42400","8700","N/A","21800","779900"
"Louisiana","339000","456000","53800","11200","4500","15200","879700"
"Maine","144800","6700","4200","N/A","1600","7100","166500"
"Maryland","207500","250500","83100","27600","N/A","20100","590400"
"Massachusetts","366100","89000","201000","55600","N/A","29000","742200"
"Michigan","877400","431600","110100","44100","9200","66800","1539100"
"Minnesota","305400","100300","58100","43300","12500","15300","534900"
"Mississippi","218200","375800","23000","4200","2100","9000","632200"
"Missouri","575900","181600","61200","14000","4900","27100","864700"
"Montana","108100","N/A","5200","N/A","24300","7000","146400"
"Nebraska","133500","28400","46100","7800","6000","9200","231000"
"Nevada","149300","61300","164000","25400","5700","19100","424800"
"New Hampshire","85400","3300","7700","3000","N/A","2600","102000"
"New Jersey","302700","196500","346900","54800","N/A","26800","928400"
"New Mexico","96600","8100","251800","3200","57800","7300","424900"
"New York","1050800","609700","923600","261500","9600","80700","2935900"
"North Carolina","719700","514000","290700","30600","26700","45400","1627100"
"North Dakota","61700","N/A","N/A","N/A","13500","4200","85800"
"Ohio","1020800","435600","105700","34500","4700","80900","1682200"
"Oklahoma","314800","74600","96700","14200","52200","62700","615200"
"Oregon","384300","24200","128700","24600","9100","24800","595700"
"Pennsylvania","868100","352200","257200","63300","N/A","54700","1599000"
"Rhode Island","70500","10200","42100","7100","N/A","6800","138600"
"South Carolina","350600","332200","67700","12200","2300","17500","782500"
"South Dakota","59500","N/A","N/A","N/A","30200","N/A","107300"
"Tennessee","666500","272800","96600","8900","3200","31100","1079000"
"Texas","992500","654600","2371200","132500","11500","65800","4228100"
"Utah","211600","10800","76000","18000","8700","9200","334200"
"Vermont","50500","N/A","N/A","N/A","N/A","N/A","57900"
"Virginia","452000","293900","103900","41400","N/A","29800","922600"
"Washington","504000","56200","190700","67300","18500","49400","886000"
"West Virginia","287400","16900","5000","2700","N/A","7100","319100"
"Wisconsin","405900","108500","83800","22400","10200","19500","650300"
"Wyoming","46900","N/A","7000","N/A","1600","N/A","58200"
"Puerto Rico","10900","N/A","1569300","N/A","N/A","N/A","1585400"

"Notes"
"The American Community Survey did not release the 1-year estimates for 2020 due to significant disruptions to data collection brought on by the coronavirus pandemic. "
""
"Data are for the total population. Data may not sum to totals due to rounding."
""
"Data include the civilian noninstitutionalized population in the United States. "
""
"The U.S. Census Bureau's poverty threshold for a family with two adults and one child was $25,249 in 2024. This is the official measurement of poverty used by the Federal Government, and the measure used for most poverty-based data presented on State Health Facts. The Department of Health and Human Services (HHS) produces simplified - but very similar - versions of these poverty thresholds called ""poverty guidelines"" that are used to assess eligibility for income-based programs such as Medicaid. For more information on measures of poverty, please see the detailed description provided by HHS: [http://aspe.hhs.gov/poverty/faq.cfm](http://aspe.hhs.gov/poverty/faq.cfm). For 2024 and historical thresholds, use [https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html](https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html)."

"Sources"
"KFF estimates based on the 2008-2024 American Community Survey, 1-Year Estimates."

"Definitions"
"Persons of Hispanic origin may be of any race; all other racial/ethnic groups are non-Hispanic. "
""
"*N/A*: Estimates with relative standard errors greater than 30% are not provided."


Footnotes
"1. US total excludes Puerto Rico."
