"Title: Poverty Rate by Race/Ethnicity | KFF State Health Facts"
"Timeframe: 2012"
"Location","White","Black","Hispanic","Asian/Native Hawaiian or Pacific Islander","American Indian or Alaska Native","Multiple Races","Total",Footnotes
"United States","21054300","10279700","13118700","2049300","582100","1391200","48475300","1"
"Alabama","391200","393600","58500","7700","4200","24000","879200"
"Alaska","32000","N/A","8500","N/A","26000","8000","80800"
"Arizona","406900","61600","553100","24700","98200","26300","1170800"
"Arkansas","326700","147300","51100","5600","3600","11200","545500"
"California","1509300","523500","3415300","627200","32700","172100","6280000"
"Colorado","334000","56100","262000","18200","6900","13400","690600"
"Connecticut","144700","71400","141300","5900","N/A","10500","375500"
"Delaware","53600","33000","15800","N/A","N/A","3600","1.09E+05"
"District of Columbia","13100","73600","13600","2100","N/A","N/A","104100"
"Florida","1275900","819200","990700","58500","9900","77700","3232000"
"Georgia","664500","804300","277700","55200","5000","38300","1845000"
"Hawaii","35300","N/A","24300","68600","N/A","28000","158400"
"Idaho","180500","N/A","50100","2000","3500","5200","242700"
"Illinois","715900","580300","432500","72800","1900","39800","1843200"
"Indiana","630900","182500","117800","23900","2000","33800","990900"
"Iowa","287800","26000","35600","10000","1700","14500","375600"
"Kansas","237700","34400","77600","10600","3200","20100","383700"
"Kentucky","629600","116400","38800","7600","2400","20900","815700"
"Louisiana","339200","465100","44900","14900","1900","19500","885500"
"Maine","169600","4400","6400","N/A","2200","7800","193400"
"Maryland","203800","264100","60900","28400","N/A","19600","578000"
"Massachusetts","387800","91200","208500","54800","N/A","23500","768200"
"Michigan","955900","493100","134200","36400","8600","65700","1694000"
"Minnesota","345800","111100","61500","40200","17400","22100","598100"
"Mississippi","242700","405400","22600","4100","3100","8300","686300"
"Missouri","624900","203200","69500","16600","5600","35100","954800"
"Montana","109400","N/A","9700","N/A","22000","4000","146300"
"Nebraska","127400","22800","42200","4700","4500","7500","209000"
"Nevada","158000","56700","175600","21400","8000","7500","427200"
"New Hampshire","106900","N/A","6900","N/A","N/A","4100","123600"
"New Jersey","317400","213300","322800","48600","N/A","27000","930000"
"New Mexico","104600","9400","236200","2600","61300","5800","420000"
"New York","1088600","621000","941500","301000","10100","81300","3043400"
"North Carolina","741300","550400","286500","29800","35400","53800","1697300"
"North Dakota","49700","6800","1800","N/A","12200","N/A","71800"
"Ohio","1144100","475800","102500","26300","3400","75200","1827200"
"Oklahoma","332500","73200","103500","9700","61700","56500","637300"
"Oregon","418200","24300","137400","24500","13500","23600","641600"
"Pennsylvania","973800","366600","263900","59200","2600","47900","1714000"
"Rhode Island","72500","13100","44100","3400","N/A","5600","139800"
"South Carolina","375300","354600","70100","10100","2800","20300","833300"
"South Dakota","59700","4700","8500","N/A","32700","N/A","107200"
"Tennessee","669200","306500","108500","15500","1700","30700","1132200"
"Texas","1065100","703100","2563300","118900","11900","67900","4530200"
"Utah","210900","3900","94100","16400","8400","11200","345000"
"Vermont","62300","N/A","N/A","N/A","N/A","N/A","68200"
"Virginia","451400","305600","102600","41700","2200","33200","936600"
"Washington","513100","53200","209400","70800","22700","45600","914900"
"West Virginia","277000","19400","5200","N/A","N/A","7200","311300"
"Wisconsin","434200","123400","96400","30500","11300","20900","716800"
"Wyoming","52400","N/A","11300","N/A","2900","N/A","70600"
"Puerto Rico","8800","N/A","1614900","N/A","N/A","3100","1627300"

"Notes"
"The American Community Survey did not release the 1-year estimates for 2020 due to significant disruptions to data collection brought on by the coronavirus pandemic. "
""
"Data are for the total population. Data may not sum to totals due to rounding."
""
"Data include the civilian noninstitutionalized population in the United States. "
""
"The U.S. Census Bureau's poverty threshold for a family with two adults and one child was $25,249 in 2024. This is the official measurement of poverty used by the Federal Government, and the measure used for most poverty-based data presented on State Health Facts. The Department of Health and Human Services (HHS) produces simplified - but very similar - versions of these poverty thresholds called ""poverty guidelines"" that are used to assess eligibility for income-based programs such as Medicaid. For more information on measures of poverty, please see the detailed description provided by HHS: [http://aspe.hhs.gov/poverty/faq.cfm](http://aspe.hhs.gov/poverty/faq.cfm). For 2024 and historical thresholds, use [https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html](https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html)."

"Sources"
"KFF estimates based on the 2008-2024 American Community Survey, 1-Year Estimates."

"Definitions"
"Persons of Hispanic origin may be of any race; all other racial/ethnic groups are non-Hispanic. "
""
"*N/A*: Estimates with relative standard errors greater than 30% are not provided."


Footnotes
"1. US total excludes Puerto Rico."
