"Title: Poverty Rate by Race/Ethnicity | KFF State Health Facts"
"Timeframe: 2008"
"Location","White","Black","Hispanic","Asian/Native Hawaiian or Pacific Islander","American Indian or Alaska Native","Multiple Races","Total",Footnotes
"United States","18046000","8425300","9734000","1412900","468400","939000","39025500","1"
"Alabama","330800","326300","35000","6700","3100","13500","715400"
"Alaska","26600","N/A","N/A","N/A","15500","4200","53100"
"Arizona","314300","40600","461700","17500","82300","12500","928900"
"Arkansas","268200","141700","46300","4000","3800","9800","473800"
"California","1267700","403800","2517700","443100","27400","106100","4765900"
"Colorado","266200","34300","225000","10900","6500","11700","554600"
"Connecticut","133900","64400","97300","9500","N/A","8900","316000"
"Delaware","38800","33100","16500","N/A","N/A","N/A","9.48E+04"
"District of Columbia","11600","73400","8700","N/A","N/A","N/A","97900"
"Florida","1029200","569900","665800","42000","9400","37800","2354100"
"Georgia","500600","624500","188600","31400","N/A","27000","1374100"
"Hawaii","32900","N/A","15900","45800","N/A","17700","113200"
"Idaho","149900","N/A","38100","N/A","2300","6500","200500"
"Illinois","617300","487700","333800","51900","1500","35100","1527300"
"Indiana","548500","145300","76000","14900","1900","20600","807100"
"Iowa","267200","27400","28000","6500","N/A","9000","339000"
"Kansas","191900","40000","52400","8200","N/A","6500","301900"
"Kentucky","580100","90800","31600","4000","N/A","17300","724800"
"Louisiana","282800","393700","30900","7000","6200","9300","729800"
"Maine","146200","N/A","N/A","N/A","N/A","6100","162900"
"Maryland","183200","189000","46000","20100","N/A","11400","450300"
"Massachusetts","351000","59400","145600","37400","N/A","26600","621500"
"Michigan","835900","385800","104800","30600","9100","49200","1415400"
"Minnesota","326200","70300","45000","27200","18500","9900","497200"
"Mississippi","200000","366200","11100","N/A","3500","5700","590700"
"Missouri","530400","163300","45800","9300","4100","23800","776700"
"Montana","102700","N/A","9400","N/A","19600","5100","138400"
"Nebraska","129300","23100","30100","N/A","4700","N/A","194200"
"Nevada","115400","33600","118900","11600","3000","8500","291100"
"New Hampshire","87200","N/A","N/A","N/A","N/A","N/A","96500"
"New Jersey","269600","194000","223500","32700","N/A","13200","734500"
"New Mexico","79800","9800","191400","N/A","47300","4200","334100"
"New York","1007600","576300","726600","195500","11200","53900","2571100"
"North Carolina","595600","448400","179000","16000","22200","35400","1296500"
"North Dakota","52400","N/A","N/A","N/A","11300","N/A","70900"
"Ohio","970100","375800","71600","23000","5500","49200","1495100"
"Oklahoma","316000","66600","72000","13300","41800","46800","556500"
"Oregon","337800","17400","108700","16800","8100","16700","505400"
"Pennsylvania","876900","324300","153300","42200","2700","39700","1439100"
"Rhode Island","66700","11800","30600","3000","N/A","N/A","115300"
"South Carolina","289200","330500","42000","3600","1800","13400","680400"
"South Dakota","60300","N/A","N/A","N/A","26900","4400","99400"
"Tennessee","577300","253100","64300","5200","3800","23600","927300"
"Texas","937500","587200","2090400","94500","9400","43300","3762300"
"Utah","178400","4500","52200","10200","6500","4900","256600"
"Vermont","59200","1600","N/A","N/A","N/A","N/A","65000"
"Virginia","388300","262500","68300","29200","3200","18000","769500"
"Washington","436900","49300","145300","43100","17300","32200","724100"
"West Virginia","262100","16800","6600","N/A","N/A","6700","294400"
"Wisconsin","374800","92300","58200","20500","8000","15500","569300"
"Wyoming","43300","N/A","3700","N/A","N/A","N/A","51700"
"Puerto Rico","10900","N/A","1749600","N/A","N/A","N/A","1763700"

"Notes"
"The American Community Survey did not release the 1-year estimates for 2020 due to significant disruptions to data collection brought on by the coronavirus pandemic. "
""
"Data are for the total population. Data may not sum to totals due to rounding."
""
"Data include the civilian noninstitutionalized population in the United States. "
""
"The U.S. Census Bureau's poverty threshold for a family with two adults and one child was $25,249 in 2024. This is the official measurement of poverty used by the Federal Government, and the measure used for most poverty-based data presented on State Health Facts. The Department of Health and Human Services (HHS) produces simplified - but very similar - versions of these poverty thresholds called ""poverty guidelines"" that are used to assess eligibility for income-based programs such as Medicaid. For more information on measures of poverty, please see the detailed description provided by HHS: [http://aspe.hhs.gov/poverty/faq.cfm](http://aspe.hhs.gov/poverty/faq.cfm). For 2024 and historical thresholds, use [https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html](https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html)."

"Sources"
"KFF estimates based on the 2008-2024 American Community Survey, 1-Year Estimates."

"Definitions"
"Persons of Hispanic origin may be of any race; all other racial/ethnic groups are non-Hispanic. "
""
"*N/A*: Estimates with relative standard errors greater than 30% are not provided."


Footnotes
"1. US total excludes Puerto Rico."
