"Title: Poverty Rate by Race/Ethnicity | KFF State Health Facts"
"Timeframe: 2016"
"Location","White","Black","Hispanic","Asian/Native Hawaiian or Pacific Islander","American Indian or Alaska Native","Multiple Races","Total",Footnotes
"United States","19282800","9047000","11795000","2092900","556500","1418400","44192500","1"
"Alabama","376200","349400","62000","6900","2700","20400","817600"
"Alaska","30000","N/A","8500","N/A","29400","5100","75500"
"Arizona","411400","56900","496100","30700","96000","24200","1115400"
"Arkansas","291200","127100","53600","6100","4500","16400","498800"
"California","1387700","461000","2857400","631000","27500","164700","5529200"
"Colorado","300500","39400","197500","20300","5500","20000","583200"
"Connecticut","135100","61800","105700","14800","N/A","10500","328200"
"Delaware","46300","28900","24400","3200","N/A","4400","1.08E+05"
"District of Columbia","17600","84700","15500","3300","N/A","N/A","122700"
"Florida","1164200","693800","959900","67800","8200","85800","2979700"
"Georgia","571800","687000","225500","47700","4300","45000","1581400"
"Hawaii","23600","N/A","15300","64100","N/A","17700","122600"
"Idaho","172900","N/A","49100","N/A","4600","6500","237000"
"Illinois","687100","460400","357500","73300","1700","44500","1624500"
"Indiana","568600","162700","105200","30800","2700","30300","900400"
"Iowa","251600","28700","41600","11100","N/A","9900","346000"
"Kansas","214300","43300","60000","8900","2600","11800","340800"
"Kentucky","613400","107100","47100","9700","N/A","19700","799200"
"Louisiana","337700","489200","53400","12900","7300","19000","919500"
"Maine","145000","9800","2600","N/A","N/A","5800","168000"
"Maryland","206200","219200","72900","28300","N/A","21200","548600"
"Massachusetts","320100","83200","198000","59300","1800","27300","689700"
"Michigan","834200","379400","107800","57000","7800","57300","1443600"
"Minnesota","310900","87400","53200","37100","15400","26500","530400"
"Mississippi","213000","346000","21200","2700","5400","10600","599000"
"Missouri","554500","153200","56100","18300","5300","34100","821600"
"Montana","104800","N/A","5100","N/A","14900","5800","132600"
"Nebraska","128000","22900","48200","8500","3900","N/A","216400"
"Nevada","136500","51500","155900","27700","7800","12900","392300"
"New Hampshire","74300","N/A","6700","N/A","N/A","4700","89600"
"New Jersey","314400","187000","322100","53600","2200","22600","902000"
"New Mexico","95200","7100","238100","N/A","56700","7100","407000"
"New York","1023000","559700","891700","275100","9100","86600","2845300"
"North Carolina","685900","504500","251600","30900","24500","47100","1544500"
"North Dakota","52400","N/A","6100","N/A","15900","N/A","84300"
"Ohio","988800","418000","104400","35100","4000","76600","1626800"
"Oklahoma","306900","75100","101500","12400","62800","54300","612900"
"Oregon","339800","18000","117900","27200","9200","26400","538500"
"Pennsylvania","891900","335400","245200","54300","5700","51000","1583500"
"Rhode Island","70300","11600","35500","3700","N/A","7600","129200"
"South Carolina","310100","312400","69000","8100","N/A","28800","730000"
"South Dakota","56300","N/A","9400","N/A","40400","5600","115000"
"Tennessee","602000","276500","96900","12300","N/A","25500","1015200"
"Texas","1028200","636100","2374200","137800","8300","71600","4256100"
"Utah","194000","11500","74300","14300","8300","9100","311400"
"Vermont","61900","N/A","N/A","N/A","N/A","N/A","67000"
"Virginia","432300","272000","112200","37600","1700","40000","895900"
"Washington","454600","53600","172900","59800","18700","51200","810800"
"West Virginia","290600","14900","6500","N/A","N/A","10400","325700"
"Wisconsin","405000","104700","90800","28900","12400","21200","663000"
"Wyoming","50400","N/A","9800","N/A","2800","N/A","66900"
"Puerto Rico","13300","N/A","1473700","N/A","N/A","1700","1489800"

"Notes"
"The American Community Survey did not release the 1-year estimates for 2020 due to significant disruptions to data collection brought on by the coronavirus pandemic. "
""
"Data are for the total population. Data may not sum to totals due to rounding."
""
"Data include the civilian noninstitutionalized population in the United States. "
""
"The U.S. Census Bureau's poverty threshold for a family with two adults and one child was $25,249 in 2024. This is the official measurement of poverty used by the Federal Government, and the measure used for most poverty-based data presented on State Health Facts. The Department of Health and Human Services (HHS) produces simplified - but very similar - versions of these poverty thresholds called ""poverty guidelines"" that are used to assess eligibility for income-based programs such as Medicaid. For more information on measures of poverty, please see the detailed description provided by HHS: [http://aspe.hhs.gov/poverty/faq.cfm](http://aspe.hhs.gov/poverty/faq.cfm). For 2024 and historical thresholds, use [https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html](https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html)."

"Sources"
"KFF estimates based on the 2008-2024 American Community Survey, 1-Year Estimates."

"Definitions"
"Persons of Hispanic origin may be of any race; all other racial/ethnic groups are non-Hispanic. "
""
"*N/A*: Estimates with relative standard errors greater than 30% are not provided."


Footnotes
"1. US total excludes Puerto Rico."
