"Title: Distribution of Total Population by Federal Poverty Level | KFF State Health Facts"
"Timeframe: 2014"
"Location","Under 100%","100-199%","200-399%","400%+","Total",Footnotes
"United States","48028600","58059100","92805100","111319400","310212200","1"
"Alabama","916800","971600","1435500","1390200","4714100"
"Alaska","88600","106700","186500","324800","706600"
"Arizona","1182000","1356900","1992300","2025000","6556200"
"Arkansas","542500","693900","919500","724100","2880000"
"California","6230500","7441600","10343900","13965500","37981600"
"Colorado","637400","861500","1575300","2142800","5217000"
"Connecticut","355600","487300","855300","1782300","3480400"
"Delaware","117400","130300","287000","370600","905300"
"District of Columbia","104900","86700","136200","295700","623500"
"Florida","3222200","4147700","6145400","5915700","19431100"
"Georgia","1824500","1965000","2970200","3033100","9792900"
"Hawaii","156200","181500","437700","572800","1348100"
"Idaho","238300","367600","545600","447200","1598800"
"Illinois","1800000","2103800","3749900","4915700","12569400"
"Indiana","979700","1228400","2181200","1997500","6386700"
"Iowa","368600","536300","1014300","1082800","3002100"
"Kansas","383400","531100","924800","971300","2810700"
"Kentucky","796100","890100","1367200","1215500","4268800"
"Louisiana","884900","917100","1306300","1400100","4508500"
"Maine","189000","253000","415200","436700","1293800"
"Maryland","578700","789200","1549400","2902100","5819300"
"Massachusetts","754400","873200","1660100","3218800","6506500"
"Michigan","1551800","1778500","3083900","3268500","9682700"
"Minnesota","592700","809600","1636200","2291800","5330400"
"Mississippi","641000","664600","904300","676900","2886800"
"Missouri","902700","1121600","1949300","1896600","5870200"
"Montana","160400","205800","325500","301900","993700"
"Nebraska","230500","334600","623400","635300","1823700"
"Nevada","415800","616600","929000","833800","2795200"
"New Hampshire","120200","169600","384000","612700","1286500"
"New Jersey","973400","1202900","2209700","4370200","8756200"
"New Mexico","434800","451800","601400","548700","2036700"
"New York","2989900","3257400","5215300","7753700","19216400"
"North Carolina","1672100","2095400","2900000","2965400","9632900"
"North Dakota","85400","100800","237000","285200","708400"
"Ohio","1788500","2049700","3609300","3822900","11270300"
"Oklahoma","618000","793600","1231500","1106500","3749500"
"Oregon","625400","803000","1180200","1281000","3889600"
"Pennsylvania","1674400","2108000","3900200","4685400","12368000"
"Rhode Island","144400","168700","292200","408300","1013700"
"South Carolina","844500","1002000","1433300","1394500","4674300"
"South Dakota","121100","141200","287000","272300","821600"
"Tennessee","1176000","1352200","1988700","1857800","6374800"
"Texas","4525100","5438600","7599800","8716600","26280100"
"Utah","342700","546800","1097500","904800","2891800"
"Vermont","61000","117500","185600","235800","600000"
"Virginia","955300","1199900","2295000","3555800","8006000"
"Washington","915400","1144200","2037400","2790600","6887600"
"West Virginia","321400","394700","599100","476500","1791600"
"Wisconsin","724600","973100","1884400","2021400","5603600"
"Wyoming","68300","95900","186200","218100","568500"
"Puerto Rico","1615100","964400","673500","261000","3514000"

"Notes"
"The American Community Survey did not release the 1-year estimates for 2020 due to significant disruptions to data collection brought on by the coronavirus pandemic. "
" "
""
"Data may not sum to totals due to rounding."
""
"The U.S. Census Bureau's poverty threshold for a family with two adults and one child was $25,249 in 2024. This is the official measurement of poverty used by the Federal Government, and the measure used for most poverty-based data presented on State Health Facts. The Department of Health and Human Services (HHS) produces simplified - but very similar - versions of these poverty thresholds called ""poverty guidelines"" that are used to assess eligibility for income-based programs such as Medicaid. For more information on measures of poverty, please see the detailed description provided by HHS: [http://aspe.hhs.gov/poverty/faq.cfm](http://aspe.hhs.gov/poverty/faq.cfm). For 2024 and historical thresholds, use [https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html](https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html)."
""
"Data include the civilian noninstitutionalized population in the United States."

"Sources"
"KFF estimates based on the 2008-2024 American Community Survey, 1-Year Estimates."


Footnotes
"1. US total excludes Puerto Rico."
