"Title: Distribution of Total Population by Federal Poverty Level | KFF State Health Facts"
"Timeframe: 2021"
"Location","Under 100%","100-199%","200-399%","400%+","Total",Footnotes
"United States","41384700","51156900","94470000","136164100","323175700","1"
"Alabama","783300","944800","1559300","1613300","4900800"
"Alaska","76900","90900","226100","304800","698700"
"Arizona","914800","1217300","2226900","2748300","7107300"
"Arkansas","481600","625300","956800","872700","2936400"
"California","4728400","5869400","10474500","17307000","38379200"
"Colorado","558400","725400","1563400","2817000","5664200"
"Connecticut","353400","423300","862000","1862900","3501500"
"Delaware","109400","136300","283600","444800","974100"
"District of Columbia","104500","53700","111000","364300","633400"
"Florida","2801200","3826900","6711600","7965100","21304700"
"Georgia","1476800","1773400","3162500","4065500","10478300"
"Hawaii","153800","164100","386800","660500","1365100"
"Idaho","208400","350900","645600","660200","1865000"
"Illinois","1482600","1850800","3475100","5560300","12368800"
"Indiana","796600","1107800","2268400","2428600","6601300"
"Iowa","343800","461400","1015600","1272300","3093200"
"Kansas","340900","495200","899800","1107300","2843100"
"Kentucky","721400","797900","1390900","1455300","4365500"
"Louisiana","876700","837500","1310800","1455300","4480200"
"Maine","162600","194000","422700","557700","1336900"
"Maryland","611300","684700","1456000","3240100","5992100"
"Massachusetts","704200","725900","1513600","3800300","6744100"
"Michigan","1306000","1604400","3031600","3899800","9841800"
"Minnesota","496600","722300","1598500","2767700","5585100"
"Mississippi","553400","581100","903200","812800","2850600"
"Missouri","762100","1002700","1916500","2306100","5987500"
"Montana","121600","192800","344300","415200","1073800"
"Nebraska","195400","300000","615600","796100","1907000"
"Nevada","434800","548000","993000","1114500","3090300"
"New Hampshire","94500","140400","355800","756100","1346700"
"New Jersey","937800","1058400","2153500","4935400","9085100"
"New Mexico","385900","425600","588600","663100","2063100"
"New York","2684900","2764300","4947300","8913300","19309800"
"North Carolina","1395800","1806300","3077400","3932100","10211700"
"North Dakota","72900","111000","229000","328800","741600"
"Ohio","1525200","1793200","3608700","4528600","11455700"
"Oklahoma","599100","776500","1212600","1270500","3858600"
"Oregon","520300","667100","1199200","1776900","4163500"
"Pennsylvania","1526400","1799800","3665700","5572100","12564000"
"Rhode Island","121000","144300","282200","502600","1050300"
"South Carolina","748700","903000","1592100","1796700","5040600"
"South Dakota","108200","122200","300700","332700","863800"
"Tennessee","932600","1282300","2151100","2430100","6796100"
"Texas","4124300","5200300","8574200","10946500","28845300"
"Utah","267500","505300","1177000","1332000","3281800"
"Vermont","64400","87300","181200","286700","619700"
"Virginia","858900","1085500","2212300","4148300","8305000"
"Washington","772900","952300","2050900","3776200","7552200"
"West Virginia","291700","339900","531400","569900","1733000"
"Wisconsin","626700","793300","1865600","2468800","5754400"
"Wyoming","64200","90400","188200","220700","563500"
"Puerto Rico","1306900","971700","669600","284800","3233000"

"Notes"
"The American Community Survey did not release the 1-year estimates for 2020 due to significant disruptions to data collection brought on by the coronavirus pandemic. "
" "
""
"Data may not sum to totals due to rounding."
""
"The U.S. Census Bureau's poverty threshold for a family with two adults and one child was $25,249 in 2024. This is the official measurement of poverty used by the Federal Government, and the measure used for most poverty-based data presented on State Health Facts. The Department of Health and Human Services (HHS) produces simplified - but very similar - versions of these poverty thresholds called ""poverty guidelines"" that are used to assess eligibility for income-based programs such as Medicaid. For more information on measures of poverty, please see the detailed description provided by HHS: [http://aspe.hhs.gov/poverty/faq.cfm](http://aspe.hhs.gov/poverty/faq.cfm). For 2024 and historical thresholds, use [https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html](https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html)."
""
"Data include the civilian noninstitutionalized population in the United States."

"Sources"
"KFF estimates based on the 2008-2024 American Community Survey, 1-Year Estimates."


Footnotes
"1. US total excludes Puerto Rico."
