"Title: Distribution of Total Population by Federal Poverty Level | KFF State Health Facts"
"Timeframe: 2016"
"Location","Under 100%","100-199%","200-399%","400%+","Total",Footnotes
"United States","44192500","55707700","93339100","121227000","314466400","1"
"Alabama","817600","942300","1463000","1507100","4730100"
"Alaska","75500","104300","199600","335600","714900"
"Arizona","1115400","1325700","2110700","2209100","6760900"
"Arkansas","498800","677700","912900","805900","2895400"
"California","5529200","7038800","10558500","15315800","38442400"
"Colorado","583200","858100","1621800","2335000","5398100"
"Connecticut","328200","429500","861900","1845500","3465100"
"Delaware","107700","127300","286000","403300","924300"
"District of Columbia","122700","73500","127200","321000","644400"
"Florida","2979700","4172100","6410600","6581700","20144000"
"Georgia","1581400","1946400","3030000","3443200","10001000"
"Hawaii","122600","182000","401700","658300","1364600"
"Idaho","237000","339100","562500","512000","1650700"
"Illinois","1624500","2067800","3557000","5241900","12491200"
"Indiana","900400","1167800","2172800","2190400","6431400"
"Iowa","346000","484700","1006900","1192900","3030400"
"Kansas","340800","504200","918700","1053200","2817000"
"Kentucky","799200","830500","1317200","1340700","4287700"
"Louisiana","919500","860200","1315900","1434900","4530500"
"Maine","168000","223900","415000","486800","1293800"
"Maryland","548600","722000","1504200","3081800","5856500"
"Massachusetts","689700","774700","1595200","3510900","6570600"
"Michigan","1443600","1672400","2992800","3584700","9693500"
"Minnesota","530400","762300","1602200","2498000","5392900"
"Mississippi","599000","609500","902300","776500","2887300"
"Missouri","821600","1095600","1923200","2057600","5898000"
"Montana","132600","209800","330000","342800","1015100"
"Nebraska","216400","320000","601000","707500","1845000"
"Nevada","392300","592900","939300","965900","2890400"
"New Hampshire","89600","161300","362500","677900","1291300"
"New Jersey","902000","1180200","2123300","4557300","8762700"
"New Mexico","407000","437200","587700","597500","2029400"
"New York","2845300","3078900","5079800","8217500","19221500"
"North Carolina","1544500","1929700","3046700","3309000","9829900"
"North Dakota","84300","102200","222400","317200","725900"
"Ohio","1626800","1933900","3609000","4109000","11278700"
"Oklahoma","612900","790900","1209200","1187800","3800800"
"Oregon","538500","750600","1219000","1506500","4014500"
"Pennsylvania","1583500","2006800","3804000","4970400","12364700"
"Rhode Island","129200","155100","274000","455600","1013900"
"South Carolina","730000","985300","1533200","1556800","4805300"
"South Dakota","115000","143500","284900","292400","835800"
"Tennessee","1015200","1298100","2107500","2046900","6467700"
"Texas","4256100","5439300","7966900","9516000","27178300"
"Utah","311400","517300","1134600","1036100","2999300"
"Vermont","67000","97200","191200","244200","599600"
"Virginia","895900","1139500","2253800","3791700","8080900"
"Washington","810800","1117800","2067200","3128300","7124100"
"West Virginia","325700","371200","565600","519200","1781700"
"Wisconsin","663000","858500","1864400","2237400","5623300"
"Wyoming","66900","97900","192200","212400","569400"
"Puerto Rico","1489800","963200","671600","254400","3379100"

"Notes"
"The American Community Survey did not release the 1-year estimates for 2020 due to significant disruptions to data collection brought on by the coronavirus pandemic. "
" "
""
"Data may not sum to totals due to rounding."
""
"The U.S. Census Bureau's poverty threshold for a family with two adults and one child was $25,249 in 2024. This is the official measurement of poverty used by the Federal Government, and the measure used for most poverty-based data presented on State Health Facts. The Department of Health and Human Services (HHS) produces simplified - but very similar - versions of these poverty thresholds called ""poverty guidelines"" that are used to assess eligibility for income-based programs such as Medicaid. For more information on measures of poverty, please see the detailed description provided by HHS: [http://aspe.hhs.gov/poverty/faq.cfm](http://aspe.hhs.gov/poverty/faq.cfm). For 2024 and historical thresholds, use [https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html](https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html)."
""
"Data include the civilian noninstitutionalized population in the United States."

"Sources"
"KFF estimates based on the 2008-2024 American Community Survey, 1-Year Estimates."


Footnotes
"1. US total excludes Puerto Rico."
