"Title: Distribution of Total Population by Federal Poverty Level | KFF State Health Facts"
"Timeframe: 2011"
"Location","Under 100%","100-199%","200-399%","400%+","Total",Footnotes
"United States","48190800","58172000","91060900","105656900","303080600","1"
"Alabama","895200","1002200","1421400","1357200","4676000"
"Alaska","71900","117000","196000","312300","697100"
"Arizona","1210800","1321600","1954600","1837500","6324500"
"Arkansas","532500","691400","906800","718800","2849500"
"California","6137200","7638400","10028800","13058500","36862800"
"Colorado","665200","891300","1448200","1979200","4983900"
"Connecticut","378600","460400","871500","1755900","3466400"
"Delaware","108000","146500","266500","359100","880100"
"District of Columbia","110600","74700","124000","274500","583900"
"Florida","3175900","4054100","5781600","5602700","18614200"
"Georgia","1821800","1984200","2821900","2889600","9517400"
"Hawaii","160200","196000","431600","524000","1311900"
"Idaho","238800","362000","552100","394400","1547300"
"Illinois","1847400","2258400","3784900","4663000","12553800"
"Indiana","994100","1239200","2149000","1934800","6317100"
"Iowa","379400","545500","1033900","1004900","2963800"
"Kansas","392900","521100","923300","934900","2772200"
"Kentucky","826900","852100","1363100","1185800","4227900"
"Louisiana","895700","901900","1291400","1342200","4431200"
"Maine","184100","267600","420600","420000","1292200"
"Maryland","573700","756100","1486700","2852100","5668600"
"Massachusetts","744200","861100","1737800","3017400","6360600"
"Michigan","1644000","1811000","3106200","3093800","9655100"
"Minnesota","606300","815300","1672500","2128200","5222300"
"Mississippi","650100","686700","882600","659100","2878500"
"Missouri","924600","1127300","1928400","1843100","5823500"
"Montana","136100","217300","326600","291700","971600"
"Nebraska","212500","338600","615600","615600","1782300"
"Nevada","431400","584100","873600","786700","2675800"
"New Hampshire","112500","171200","392500","602000","1278200"
"New Jersey","890200","1238700","2235400","4274400","8638700"
"New Mexico","436300","458300","584400","557400","2036500"
"New York","3001600","3238700","5232100","7468200","18940500"
"North Carolina","1658900","2043400","2805700","2845000","9353100"
"North Dakota","72400","113700","209900","261200","657100"
"Ohio","1842800","2065400","3666100","3650300","11224600"
"Oklahoma","644100","823500","1153600","1043600","3664800"
"Oregon","643200","764800","1196800","1188700","3793500"
"Pennsylvania","1672400","2117100","3985700","4543100","12318300"
"Rhode Island","144700","164600","293300","404700","1007400"
"South Carolina","857000","997000","1386500","1279000","4519500"
"South Dakota","101700","146200","273700","269800","791400"
"Tennessee","1128300","1343700","2001900","1756600","6230500"
"Texas","4593800","5335600","7190800","7886000","25006100"
"Utah","378500","539100","1015000","834900","2767500"
"Vermont","65900","95400","204900","233700","599800"
"Virginia","911500","1191900","2248800","3431500","7783700"
"Washington","934900","1116700","1997700","2605100","6654400"
"West Virginia","335500","384700","578200","503800","1802200"
"Wisconsin","752500","1000900","1830800","1965700","5549900"
"Wyoming","62100","98100","176000","215400","551600"
"Puerto Rico","1672700","1022100","720700","256200","3671700"

"Notes"
"The American Community Survey did not release the 1-year estimates for 2020 due to significant disruptions to data collection brought on by the coronavirus pandemic. "
" "
""
"Data may not sum to totals due to rounding."
""
"The U.S. Census Bureau's poverty threshold for a family with two adults and one child was $25,249 in 2024. This is the official measurement of poverty used by the Federal Government, and the measure used for most poverty-based data presented on State Health Facts. The Department of Health and Human Services (HHS) produces simplified - but very similar - versions of these poverty thresholds called ""poverty guidelines"" that are used to assess eligibility for income-based programs such as Medicaid. For more information on measures of poverty, please see the detailed description provided by HHS: [http://aspe.hhs.gov/poverty/faq.cfm](http://aspe.hhs.gov/poverty/faq.cfm). For 2024 and historical thresholds, use [https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html](https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html)."
""
"Data include the civilian noninstitutionalized population in the United States."

"Sources"
"KFF estimates based on the 2008-2024 American Community Survey, 1-Year Estimates."


Footnotes
"1. US total excludes Puerto Rico."
