"Title: Distribution of Total Population by Federal Poverty Level | KFF State Health Facts"
"Timeframe: 2008"
"Location","Under 100%","100-199%","200-399%","400%+","Total",Footnotes
"United States","39025500","52322100","91512300","112409800","295269800","1"
"Alabama","715400","931100","1439300","1441100","4526900"
"Alaska","53100","99500","198400","303700","654700"
"Arizona","928900","1246400","2017200","2170500","6363000"
"Arkansas","473800","675000","875600","745400","2769700"
"California","4765900","6680900","10120100","14315100","35882000"
"Colorado","554600","778200","1449300","2034600","4816700"
"Connecticut","316000","378700","859100","1829900","3383800"
"Delaware","94800","126200","249100","374100","844200"
"District of Columbia","97900","79600","123400","258100","558900"
"Florida","2354100","3477500","5820200","6222400","17874300"
"Georgia","1374100","1804600","2872800","3324900","9376400"
"Hawaii","113200","162100","388900","564800","1229000"
"Idaho","200500","329000","525600","429200","1484300"
"Illinois","1527300","2001300","3860000","5167400","12556000"
"Indiana","807100","1101200","2162200","2102300","6172900"
"Iowa","339000","484400","1051200","1019400","2894000"
"Kansas","301900","494400","917600","987400","2701400"
"Kentucky","724800","831700","1362300","1224800","4143600"
"Louisiana","729800","886500","1305300","1352200","4273800"
"Maine","162900","251700","433600","425900","1274100"
"Maryland","450300","659500","1505000","2855100","5470000"
"Massachusetts","621500","782300","1674700","3186600","6265100"
"Michigan","1415400","1706900","3184400","3457800","9764400"
"Minnesota","497200","727400","1598500","2261500","5084500"
"Mississippi","590700","640800","854500","740800","2826800"
"Missouri","776700","1078100","1947500","1926000","5728200"
"Montana","138400","171600","335300","293200","938500"
"Nebraska","194200","298100","635600","593100","1721000"
"Nevada","291100","456000","860500","949200","2556800"
"New Hampshire","96500","158400","398600","621800","1275300"
"New Jersey","734500","1036900","2237800","4485400","8494600"
"New Mexico","334100","439100","571400","589300","1934000"
"New York","2571100","2979100","5402000","7991800","18944000"
"North Carolina","1296500","1730400","2889700","2969600","8886300"
"North Dakota","70900","107000","209600","222900","610300"
"Ohio","1495100","1915600","3811000","3935800","11157500"
"Oklahoma","556500","746900","1163300","1042200","3508800"
"Oregon","505400","690200","1192300","1324000","3711900"
"Pennsylvania","1439100","1951400","3955100","4657100","12002700"
"Rhode Island","115300","148600","290100","455300","1009400"
"South Carolina","680400","876800","1375500","1385700","4318400"
"South Dakota","99400","139500","286300","244700","769900"
"Tennessee","927300","1226300","2017900","1873900","6045200"
"Texas","3762300","4879900","7017300","7983500","23643000"
"Utah","256600","501500","1039900","888800","2686800"
"Vermont","65000","92800","218400","223000","599100"
"Virginia","769500","1052400","2199800","3396700","7418400"
"Washington","724100","965600","1967300","2713600","6370500"
"West Virginia","294400","381100","603500","486300","1765200"
"Wisconsin","569300","877300","1865900","2155000","5467500"
"Wyoming","51700","84700","172600","207100","516100"
"Puerto Rico","1763700","1093400","762700","282200","3902000"

"Notes"
"The American Community Survey did not release the 1-year estimates for 2020 due to significant disruptions to data collection brought on by the coronavirus pandemic. "
" "
""
"Data may not sum to totals due to rounding."
""
"The U.S. Census Bureau's poverty threshold for a family with two adults and one child was $25,249 in 2024. This is the official measurement of poverty used by the Federal Government, and the measure used for most poverty-based data presented on State Health Facts. The Department of Health and Human Services (HHS) produces simplified - but very similar - versions of these poverty thresholds called ""poverty guidelines"" that are used to assess eligibility for income-based programs such as Medicaid. For more information on measures of poverty, please see the detailed description provided by HHS: [http://aspe.hhs.gov/poverty/faq.cfm](http://aspe.hhs.gov/poverty/faq.cfm). For 2024 and historical thresholds, use [https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html](https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html)."
""
"Data include the civilian noninstitutionalized population in the United States."

"Sources"
"KFF estimates based on the 2008-2024 American Community Survey, 1-Year Estimates."


Footnotes
"1. US total excludes Puerto Rico."
