"Title: Distribution of Total Population by Federal Poverty Level | KFF State Health Facts"
"Timeframe: 2019"
"Location","Under 100%","100-199%","200-399%","400%+","Total",Footnotes
"United States","39383200","53013300","94351900","132500900","319249300","1"
"Alabama","736300","959000","1498600","1573200","4767100"
"Alaska","75100","96100","220000","310500","701700"
"Arizona","950700","1312300","2279000","2556000","7098000"
"Arkansas","482500","667400","909800","862800","2922500"
"California","4559400","6254300","10689000","17140100","38642700"
"Colorado","525800","782800","1586200","2717100","5611800"
"Connecticut","351600","434700","816400","1850700","3453300"
"Delaware","102500","128700","272000","437200","940300"
"District of Columbia","95900","74900","122600","377800","671300"
"Florida","2668600","4052400","6730100","7540900","20992000"
"Georgia","1381600","1900200","3107600","3904600","10294000"
"Hawaii","131200","151700","372600","687500","1343000"
"Idaho","194100","364200","607000","585700","1750900"
"Illinois","1404700","1867300","3470600","5619800","12362300"
"Indiana","791500","1155300","2189000","2376000","6511800"
"Iowa","349200","491000","1011600","1208500","3060200"
"Kansas","323200","467100","922300","1098600","2811200"
"Kentucky","694700","802000","1394600","1428000","4319300"
"Louisiana","843400","853700","1297900","1503600","4498600"
"Maine","137900","239900","415600","509000","1302300"
"Maryland","532400","714800","1432800","3195500","5875500"
"Massachusetts","626600","762800","1546700","3714700","6650800"
"Michigan","1278700","1630000","3012200","3844700","9765600"
"Minnesota","495200","718200","1580200","2721100","5514800"
"Mississippi","560700","619500","903800","783100","2867100"
"Missouri","746500","1099300","1911000","2183000","5939900"
"Montana","136300","185000","335000","383200","1039400"
"Nebraska","192500","303900","631700","745500","1873600"
"Nevada","394900","529800","1014600","1090400","3029700"
"New Hampshire","98200","153900","364000","698000","1314000"
"New Jersey","798300","1048600","2058300","4794100","8699400"
"New Mexico","362300","406400","637500","635300","2041400"
"New York","2437700","2743300","4866400","8860900","18908300"
"North Carolina","1370600","1884900","3180000","3704100","10139700"
"North Dakota","80100","102900","207300","340700","731000"
"Ohio","1476400","1918800","3586300","4370100","11351500"
"Oklahoma","592000","760200","1209100","1265700","3826900"
"Oregon","475400","664700","1257200","1731600","4128900"
"Pennsylvania","1501600","1873700","3652200","5350100","12377600"
"Rhode Island","109200","133100","287100","487700","1017100"
"South Carolina","686600","947900","1574900","1774900","4984200"
"South Dakota","93800","149700","279300","328500","851300"
"Tennessee","922000","1244500","2186200","2288200","6640900"
"Texas","3847700","5375700","8474900","10587900","28286200"
"Utah","296900","466200","1128700","1262300","3154100"
"Vermont","60800","91900","174600","270800","598100"
"Virginia","807400","1110300","2258400","4009000","8185100"
"Washington","720500","1013100","2094400","3595800","7423900"
"West Virginia","274200","367500","562900","534500","1739000"
"Wisconsin","551900","849000","1842200","2434000","5677100"
"Wyoming","56000","88900","189200","228500","562700"
"Puerto Rico","1376200","928400","607900","252100","3164500"

"Notes"
"The American Community Survey did not release the 1-year estimates for 2020 due to significant disruptions to data collection brought on by the coronavirus pandemic. "
" "
""
"Data may not sum to totals due to rounding."
""
"The U.S. Census Bureau's poverty threshold for a family with two adults and one child was $25,249 in 2024. This is the official measurement of poverty used by the Federal Government, and the measure used for most poverty-based data presented on State Health Facts. The Department of Health and Human Services (HHS) produces simplified - but very similar - versions of these poverty thresholds called ""poverty guidelines"" that are used to assess eligibility for income-based programs such as Medicaid. For more information on measures of poverty, please see the detailed description provided by HHS: [http://aspe.hhs.gov/poverty/faq.cfm](http://aspe.hhs.gov/poverty/faq.cfm). For 2024 and historical thresholds, use [https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html](https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html)."
""
"Data include the civilian noninstitutionalized population in the United States."

"Sources"
"KFF estimates based on the 2008-2024 American Community Survey, 1-Year Estimates."


Footnotes
"1. US total excludes Puerto Rico."
