"Title: Distribution of Total Population by Federal Poverty Level | KFF State Health Facts"
"Timeframe: 2015"
"Location","Under 100%","100-199%","200-399%","400%+","Total",Footnotes
"United States","46077300","57050500","93203400","116446700","312777900","1"
"Alabama","893600","954100","1448100","1434300","4730100"
"Alaska","73100","120700","204700","309100","707500"
"Arizona","1153900","1318800","2062300","2120000","6655100"
"Arkansas","559400","636800","917800","768300","2882300"
"California","5879000","7308900","10469700","14667600","38325100"
"Colorado","614700","862300","1588700","2249600","5315400"
"Connecticut","357100","431400","871800","1817700","3478100"
"Delaware","124300","135600","274400","384000","918300"
"District of Columbia","104400","92000","125300","313100","634800"
"Florida","3110100","4202800","6191100","6308500","19812500"
"Georgia","1694000","1990700","2987000","3238000","9909700"
"Hawaii","148500","184300","415900","613900","1362600"
"Idaho","228500","369900","559700","459100","1617200"
"Illinois","1724500","2072300","3688000","5064900","12549700"
"Indiana","967000","1186500","2168600","2093100","6415100"
"Iowa","389000","522500","997300","1111100","3019800"
"Kansas","364600","494800","901600","1055600","2816600"
"Kentucky","779900","849600","1375200","1278700","4283400"
"Louisiana","879700","923900","1307900","1418800","4530300"
"Maine","166500","239500","434700","451900","1292600"
"Maryland","590400","739200","1534900","2973800","5838300"
"Massachusetts","742200","832300","1611300","3369800","6555600"
"Michigan","1539100","1715700","3076800","3362100","9693800"
"Minnesota","534900","802600","1620200","2407900","5365600"
"Mississippi","632200","673500","887100","696500","2889300"
"Missouri","864700","1112800","1927900","1985600","5890900"
"Montana","146400","190800","325300","343400","1005900"
"Nebraska","231000","328200","603600","675600","1838400"
"Nevada","424800","595000","953600","869300","2842700"
"New Hampshire","102000","159300","374300","651900","1287600"
"New Jersey","928400","1227700","2195700","4424500","8776300"
"New Mexico","424900","449900","586700","573800","2035300"
"New York","2935900","3104700","5162200","8066400","19269200"
"North Carolina","1627100","2033500","2956700","3116300","9733700"
"North Dakota","85800","103900","227600","309200","726400"
"Ohio","1682200","2009400","3613100","3988600","11293300"
"Oklahoma","615200","798600","1224600","1145300","3783700"
"Oregon","595700","742500","1187300","1423200","3948700"
"Pennsylvania","1599000","2018500","3885800","4883100","12386400"
"Rhode Island","138600","162600","271100","442100","1014400"
"South Carolina","782500","992100","1527000","1432300","4734000"
"South Dakota","107300","147100","298600","275900","829000"
"Tennessee","1079000","1327400","2021800","1994600","6422800"
"Texas","4228100","5450400","7951500","9147400","26777500"
"Utah","334200","553300","1064500","993200","2945200"
"Vermont","57900","101100","189500","253900","602400"
"Virginia","922600","1199200","2287000","3642500","8051200"
"Washington","886000","1144800","2028800","2943200","7002800"
"West Virginia","319100","370500","595600","506200","1791500"
"Wisconsin","650300","976400","1831500","2162700","5620900"
"Wyoming","58200","90200","191900","228700","568900"
"Puerto Rico","1585400","930900","673000","254000","3443200"

"Notes"
"The American Community Survey did not release the 1-year estimates for 2020 due to significant disruptions to data collection brought on by the coronavirus pandemic. "
" "
""
"Data may not sum to totals due to rounding."
""
"The U.S. Census Bureau's poverty threshold for a family with two adults and one child was $25,249 in 2024. This is the official measurement of poverty used by the Federal Government, and the measure used for most poverty-based data presented on State Health Facts. The Department of Health and Human Services (HHS) produces simplified - but very similar - versions of these poverty thresholds called ""poverty guidelines"" that are used to assess eligibility for income-based programs such as Medicaid. For more information on measures of poverty, please see the detailed description provided by HHS: [http://aspe.hhs.gov/poverty/faq.cfm](http://aspe.hhs.gov/poverty/faq.cfm). For 2024 and historical thresholds, use [https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html](https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html)."
""
"Data include the civilian noninstitutionalized population in the United States."

"Sources"
"KFF estimates based on the 2008-2024 American Community Survey, 1-Year Estimates."


Footnotes
"1. US total excludes Puerto Rico."
