"Title: Poverty Rate by Age | KFF State Health Facts"
"Timeframe: 2016"
"Location","Children 0-18","Adults 19-64","65+","Total",Footnotes
"United States","14745000","25030100","4417500","44192500","1"
"Alabama","278400","462800","76400","817600"
"Alaska","28000","44400","3100","75500"
"Arizona","405700","606400","103200","1115400"
"Arkansas","171400","277300","50100","498800"
"California","1870200","3112400","546700","5529200"
"Colorado","174700","354400","54200","583200"
"Connecticut","97400","195800","35000","328200"
"Delaware","34500","60200","13000","107700"
"District of Columbia","34800","78100","9800","122700"
"Florida","904100","1658300","417300","2979700"
"Georgia","579900","867600","133900","1581400"
"Hawaii","32600","69100","21000","122600"
"Idaho","78300","133100","25600","237000"
"Illinois","530900","927900","165700","1624500"
"Indiana","308800","516700","74900","900400"
"Iowa","98100","213000","34800","346000"
"Kansas","105200","206200","29400","340800"
"Kentucky","260700","466100","72400","799200"
"Louisiana","336600","497600","85300","919500"
"Maine","48600","97000","22400","168000"
"Maryland","170400","307300","70900","548600"
"Massachusetts","193700","409900","86100","689700"
"Michigan","465300","852700","125600","1443600"
"Minnesota","169500","306500","54400","530400"
"Mississippi","216700","329800","52400","599000"
"Missouri","274400","469000","78200","821600"
"Montana","34700","81900","15900","132600"
"Nebraska","73300","123400","19700","216400"
"Nevada","133100","221700","37500","392300"
"New Hampshire","19200","60300","10100","89600"
"New Jersey","292700","496700","112600","902000"
"New Mexico","147800","220700","38500","407000"
"New York","879300","1629400","336700","2845300"
"North Carolina","527800","869500","147200","1544500"
"North Dakota","23900","51500","8900","84300"
"Ohio","542000","935800","149100","1626800"
"Oklahoma","229700","336900","46300","612900"
"Oregon","152500","333200","52900","538500"
"Pennsylvania","495000","923600","164900","1583500"
"Rhode Island","36100","77100","16000","129200"
"South Carolina","255400","406400","68200","730000"
"South Dakota","39900","61200","13900","115000"
"Tennessee","353200","571100","90900","1015200"
"Texas","1683400","2232600","340100","4256100"
"Utah","109400","179800","22200","311400"
"Vermont","14200","40600","12200","67000"
"Virginia","277200","525100","93600","895900"
"Washington","235100","496600","79100","810800"
"West Virginia","98600","196300","30800","325700"
"Wisconsin","206200","395800","61100","663000"
"Wyoming","16300","43300","7200","66900"
"Puerto Rico","416700","824800","248400","1489800"

"Notes"
"The American Community Survey did not release the 1-year estimates for 2020 due to significant disruptions to data collection brought on by the coronavirus pandemic. "
""
"Data may not sum to totals due to rounding."
""
"The U.S. Census Bureau's poverty threshold for a family with two adults and one child was $25,249 in 2024. This is the official measurement of poverty used by the Federal Government, and the measure used for most poverty-based data presented on State Health Facts. The Department of Health and Human Services (HHS) produces simplified - but very similar - versions of these poverty thresholds called ""poverty guidelines"" that are used to assess eligibility for income-based programs such as Medicaid. For more information on measures of poverty, please see the detailed description provided by HHS: [http://aspe.hhs.gov/poverty/faq.cfm](http://aspe.hhs.gov/poverty/faq.cfm). For 2024 and historical thresholds, use [https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html](https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html)."
""
"Data include the civilian noninstitutionalized population in the United States."

"Sources"
"KFF estimates based on the 2008-2024 American Community Survey, 1-Year Estimates."

"Definitions"
"*N/A*: Estimates with relative standard errors greater than 30% are not provided."


Footnotes
"1. US total excludes Puerto Rico."
