"Title: Poverty Rate by Age | KFF State Health Facts"
"Timeframe: 2019"
"Location","Children 0-18","Adults 19-64","65+","Total",Footnotes
"United States","12492400","21892400","4998500","39383200","1"
"Alabama","234100","414300","87900","736300"
"Alaska","24200","43300","7600","75100"
"Arizona","317700","515000","117900","950700"
"Arkansas","165600","264700","52200","482500"
"California","1435800","2525400","598200","4559400"
"Colorado","138100","327300","60400","525800"
"Connecticut","106500","199300","45800","351600"
"Delaware","31900","56800","13900","102500"
"District of Columbia","27000","56600","12300","95900"
"Florida","779000","1415200","474400","2668600"
"Georgia","486000","740000","155600","1381600"
"Hawaii","36700","70700","23800","131200"
"Idaho","61900","112300","19900","194100"
"Illinois","445900","792000","166800","1404700"
"Indiana","255300","460100","76100","791500"
"Iowa","98600","208200","42500","349200"
"Kansas","109700","182400","31200","323200"
"Kentucky","210000","396000","88700","694700"
"Louisiana","294900","453700","94700","843400"
"Maine","31300","86100","20500","137900"
"Maryland","161600","297100","73700","532400"
"Massachusetts","159800","362500","104400","626600"
"Michigan","383600","743100","152000","1278700"
"Minnesota","147900","277100","70200","495200"
"Mississippi","199400","296300","65000","560700"
"Missouri","229000","427500","90000","746500"
"Montana","41500","76900","17800","136300"
"Nebraska","54800","109400","28200","192500"
"Nevada","126600","221800","46500","394900"
"New Hampshire","19200","63600","15400","98200"
"New Jersey","244100","426900","127300","798300"
"New Mexico","113200","196500","52500","362300"
"New York","725700","1328300","383700","2437700"
"North Carolina","447200","762000","161400","1370600"
"North Dakota","18100","53400","8600","80100"
"Ohio","476400","835900","164100","1476400"
"Oklahoma","198200","336200","57600","592000"
"Oregon","123800","291300","60400","475400"
"Pennsylvania","460700","847000","193900","1501600"
"Rhode Island","26700","65900","16500","109200"
"South Carolina","220300","376200","90100","686600"
"South Dakota","34000","48500","11300","93800"
"Tennessee","309900","506800","105400","922000"
"Texas","1464500","1999700","383500","3847700"
"Utah","102600","171600","22700","296900"
"Vermont","11300","43400","6100","60800"
"Virginia","251900","458300","97200","807400"
"Washington","202700","427000","90700","720500"
"West Virginia","73400","166300","34400","274200"
"Wisconsin","159800","321900","70200","551900"
"Wyoming","14500","34200","7300","56000"
"Puerto Rico","346700","758300","271100","1376200"

"Notes"
"The American Community Survey did not release the 1-year estimates for 2020 due to significant disruptions to data collection brought on by the coronavirus pandemic. "
""
"Data may not sum to totals due to rounding."
""
"The U.S. Census Bureau's poverty threshold for a family with two adults and one child was $25,249 in 2024. This is the official measurement of poverty used by the Federal Government, and the measure used for most poverty-based data presented on State Health Facts. The Department of Health and Human Services (HHS) produces simplified - but very similar - versions of these poverty thresholds called ""poverty guidelines"" that are used to assess eligibility for income-based programs such as Medicaid. For more information on measures of poverty, please see the detailed description provided by HHS: [http://aspe.hhs.gov/poverty/faq.cfm](http://aspe.hhs.gov/poverty/faq.cfm). For 2024 and historical thresholds, use [https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html](https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html)."
""
"Data include the civilian noninstitutionalized population in the United States."

"Sources"
"KFF estimates based on the 2008-2024 American Community Survey, 1-Year Estimates."

"Definitions"
"*N/A*: Estimates with relative standard errors greater than 30% are not provided."


Footnotes
"1. US total excludes Puerto Rico."
