"Title: Poverty Rate by Age | KFF State Health Facts"
"Timeframe: 2012"
"Location","Children 0-18","Adults 19-64","65+","Total",Footnotes
"United States","17157800","27395600","3921900","48475300","1"
"Alabama","311300","492300","75600","879200"
"Alaska","29300","47900","3600","80800"
"Arizona","441500","648100","81300","1170800"
"Arkansas","197200","301900","46400","545500"
"California","2290400","3533300","456300","6280000"
"Colorado","238600","408900","43100","690600"
"Connecticut","125800","215200","34500","375500"
"Delaware","34200","63900","10500","108600"
"District of Columbia","30700","66200","7200","104100"
"Florida","1063600","1815400","352900","3232000"
"Georgia","700900","1021000","123100","1845000"
"Hawaii","53700","89600","15100","158400"
"Idaho","89500","137000","16200","242700"
"Illinois","652300","1048700","142300","1843200"
"Indiana","357400","572000","61500","990900"
"Iowa","117200","221900","36400","375600"
"Kansas","138500","220100","25100","383700"
"Kentucky","277700","469200","68700","815700"
"Louisiana","323400","491700","70500","885500"
"Maine","55700","119800","17900","193400"
"Maryland","190500","331700","55700","578000"
"Massachusetts","231200","453000","83900","768200"
"Michigan","587200","990300","116500","1694000"
"Minnesota","192000","351600","54600","598100"
"Mississippi","261400","369000","55900","686300"
"Missouri","326200","549200","79300","954800"
"Montana","44000","90700","11600","146300"
"Nebraska","73300","117200","18500","209000"
"Nevada","151500","245600","30100","427200"
"New Hampshire","39100","71700","12800","123600"
"New Jersey","317500","515100","97400","930000"
"New Mexico","153800","234900","31300","420000"
"New York","1029000","1713800","300600","3043400"
"North Carolina","599600","970700","126900","1697300"
"North Dakota","19700","40600","11600","71800"
"Ohio","650900","1039900","136300","1827200"
"Oklahoma","235100","352700","49400","637300"
"Oregon","197000","402000","42500","641600"
"Pennsylvania","568800","979400","165800","1714000"
"Rhode Island","44800","79600","15500","139800"
"South Carolina","304700","462400","66200","833300"
"South Dakota","37300","60500","9400","107200"
"Tennessee","398900","647000","86200","1132200"
"Texas","1859300","2353900","317000","4530200"
"Utah","133600","192500","18900","345000"
"Vermont","17000","43400","7800","68200"
"Virginia","307300","548100","81200","936600"
"Washington","303300","543900","67600","914900"
"West Virginia","89100","194000","28200","311300"
"Wisconsin","240900","424600","51300","716800"
"Wyoming","24400","42400","3800","70600"
"Puerto Rico","512800","885100","229400","1627300"

"Notes"
"The American Community Survey did not release the 1-year estimates for 2020 due to significant disruptions to data collection brought on by the coronavirus pandemic. "
""
"Data may not sum to totals due to rounding."
""
"The U.S. Census Bureau's poverty threshold for a family with two adults and one child was $25,249 in 2024. This is the official measurement of poverty used by the Federal Government, and the measure used for most poverty-based data presented on State Health Facts. The Department of Health and Human Services (HHS) produces simplified - but very similar - versions of these poverty thresholds called ""poverty guidelines"" that are used to assess eligibility for income-based programs such as Medicaid. For more information on measures of poverty, please see the detailed description provided by HHS: [http://aspe.hhs.gov/poverty/faq.cfm](http://aspe.hhs.gov/poverty/faq.cfm). For 2024 and historical thresholds, use [https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html](https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html)."
""
"Data include the civilian noninstitutionalized population in the United States."

"Sources"
"KFF estimates based on the 2008-2024 American Community Survey, 1-Year Estimates."

"Definitions"
"*N/A*: Estimates with relative standard errors greater than 30% are not provided."


Footnotes
"1. US total excludes Puerto Rico."
