"Title: Poverty Rate by Age | KFF State Health Facts"
"Timeframe: 2024"
"Location","Children 0-18","Adults 19-64","65+","Total",Footnotes
"United States","11618600","21868600","6696300","40183500","1"
"Alabama","238700","406000","120600","765300"
"Alaska","26000","39000","9900","75000"
"Arizona","242500","471900","151200","865600"
"Arkansas","147800","255000","68600","471400"
"California","1276800","2528800","756700","4562400"
"Colorado","140700","325700","86000","552400"
"Connecticut","98200","195800","65000","359100"
"Delaware","30500","47400","21200","99200"
"District of Columbia","38700","63800","16000","118400"
"Florida","715900","1422900","597800","2736600"
"Georgia","423300","727300","210800","1361400"
"Hawaii","33900","74300","28600","136800"
"Idaho","54200","117800","31900","203900"
"Illinois","375400","789200","248700","1413200"
"Indiana","251800","434500","114900","801200"
"Iowa","102700","206200","45500","354300"
"Kansas","87900","167600","48500","303900"
"Kentucky","200100","374700","102400","677200"
"Louisiana","273500","441900","118900","834300"
"Maine","32300","85200","30200","147700"
"Maryland","145400","291700","108300","545400"
"Massachusetts","158900","370500","139000","668400"
"Michigan","391600","736000","215500","1343100"
"Minnesota","123000","308000","92800","523800"
"Mississippi","173200","258600","73700","505500"
"Missouri","208900","406200","124400","739600"
"Montana","24500","64000","22400","110900"
"Nebraska","68300","125100","34500","227800"
"Nevada","107200","211900","61300","380300"
"New Hampshire","18200","56500","22800","97500"
"New Jersey","248800","452900","164000","865700"
"New Mexico","104300","183900","60400","348600"
"New York","722800","1466700","522300","2711800"
"North Carolina","402400","732500","215800","1350700"
"North Dakota","26100","48100","14700","88800"
"Ohio","431900","791000","225200","1448100"
"Oklahoma","188000","321700","75500","585200"
"Oregon","111200","287100","85900","484200"
"Pennsylvania","414500","787700","266300","1468600"
"Rhode Island","33700","71600","24400","129600"
"South Carolina","218600","369100","117600","705300"
"South Dakota","24600","53400","16800","94800"
"Tennessee","305000","511200","130800","947100"
"Texas","1424800","2157300","527000","4109200"
"Utah","78100","162800","33300","274200"
"Vermont","9100","27200","10500","46800"
"Virginia","233200","466000","142500","841700"
"Washington","193600","457300","121800","772700"
"West Virginia","72900","156200","47200","276300"
"Wisconsin","153400","327900","115200","596500"
"Wyoming","11500","33500","10900","55900"
"Puerto Rico","272300","622200","301600","1196200"

"Notes"
"The American Community Survey did not release the 1-year estimates for 2020 due to significant disruptions to data collection brought on by the coronavirus pandemic. "
""
"Data may not sum to totals due to rounding."
""
"The U.S. Census Bureau's poverty threshold for a family with two adults and one child was $25,249 in 2024. This is the official measurement of poverty used by the Federal Government, and the measure used for most poverty-based data presented on State Health Facts. The Department of Health and Human Services (HHS) produces simplified - but very similar - versions of these poverty thresholds called ""poverty guidelines"" that are used to assess eligibility for income-based programs such as Medicaid. For more information on measures of poverty, please see the detailed description provided by HHS: [http://aspe.hhs.gov/poverty/faq.cfm](http://aspe.hhs.gov/poverty/faq.cfm). For 2024 and historical thresholds, use [https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html](https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html)."
""
"Data include the civilian noninstitutionalized population in the United States."

"Sources"
"KFF estimates based on the 2008-2024 American Community Survey, 1-Year Estimates."

"Definitions"
"*N/A*: Estimates with relative standard errors greater than 30% are not provided."


Footnotes
"1. US total excludes Puerto Rico."
