"Title: Poverty Rate by Age | KFF State Health Facts"
"Timeframe: 2015"
"Location","Children 0-18","Adults 19-64","65+","Total",Footnotes
"United States","15671200","26232800","4173300","46077300","1"
"Alabama","303200","514300","76100","893600"
"Alaska","29200","41400","2500","73100"
"Arizona","406100","650300","97500","1153900"
"Arkansas","195300","315100","49000","559400"
"California","2005600","3371500","501900","5879000"
"Colorado","193500","374800","46400","614700"
"Connecticut","108500","208800","39800","357100"
"Delaware","44300","69000","10900","124300"
"District of Columbia","30300","64500","9500","104400"
"Florida","981000","1732200","396800","3110100"
"Georgia","625900","941700","126300","1694000"
"Hawaii","43600","85200","19600","148500"
"Idaho","71600","139500","17400","228500"
"Illinois","594500","979800","150200","1724500"
"Indiana","354200","544000","68800","967000"
"Iowa","121900","236000","31000","389000"
"Kansas","130200","206200","28200","364600"
"Kentucky","262000","444900","73000","779900"
"Louisiana","320700","477200","81800","879700"
"Maine","40100","105000","21400","166500"
"Maryland","188700","342900","58800","590400"
"Massachusetts","208700","445800","87800","742200"
"Michigan","511100","905300","122600","1539100"
"Minnesota","166400","315300","53200","534900"
"Mississippi","236500","344900","50800","632200"
"Missouri","285700","505400","73600","864700"
"Montana","43800","90100","12500","146400"
"Nebraska","76000","134200","20700","231000"
"Nevada","145800","242700","36300","424800"
"New Hampshire","28100","60900","12900","102000"
"New Jersey","308900","516900","102600","928400"
"New Mexico","157800","228800","38300","424900"
"New York","935000","1677900","323000","2935900"
"North Carolina","570900","916500","139800","1627100"
"North Dakota","20100","55000","10700","85800"
"Ohio","584900","964900","132500","1682200"
"Oklahoma","224600","342000","48600","615200"
"Oregon","178700","369700","47300","595700"
"Pennsylvania","513500","923400","162000","1599000"
"Rhode Island","41400","81600","15600","138600"
"South Carolina","258400","452700","71400","782500"
"South Dakota","32200","65600","9500","107300"
"Tennessee","371800","612800","94400","1079000"
"Texas","1685300","2225200","317600","4228100"
"Utah","126300","187100","20800","334200"
"Vermont","14500","36200","7200","57900"
"Virginia","297500","540300","84900","922600"
"Washington","272500","535500","78000","886000"
"West Virginia","99400","192800","26800","319100"
"Wisconsin","208000","384300","58000","650300"
"Wyoming","16700","34600","6900","58200"
"Puerto Rico","457600","873400","254400","1585400"

"Notes"
"The American Community Survey did not release the 1-year estimates for 2020 due to significant disruptions to data collection brought on by the coronavirus pandemic. "
""
"Data may not sum to totals due to rounding."
""
"The U.S. Census Bureau's poverty threshold for a family with two adults and one child was $25,249 in 2024. This is the official measurement of poverty used by the Federal Government, and the measure used for most poverty-based data presented on State Health Facts. The Department of Health and Human Services (HHS) produces simplified - but very similar - versions of these poverty thresholds called ""poverty guidelines"" that are used to assess eligibility for income-based programs such as Medicaid. For more information on measures of poverty, please see the detailed description provided by HHS: [http://aspe.hhs.gov/poverty/faq.cfm](http://aspe.hhs.gov/poverty/faq.cfm). For 2024 and historical thresholds, use [https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html](https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html)."
""
"Data include the civilian noninstitutionalized population in the United States."

"Sources"
"KFF estimates based on the 2008-2024 American Community Survey, 1-Year Estimates."

"Definitions"
"*N/A*: Estimates with relative standard errors greater than 30% are not provided."


Footnotes
"1. US total excludes Puerto Rico."
