"Title: Poverty Rate by Age | KFF State Health Facts"
"Timeframe: 2018"
"Location","Children 0-18","Adults 19-64","65+","Total",Footnotes
"United States","13547700","23292100","4804600","41644300","1"
"Alabama","273500","444300","80000","797800"
"Alaska","24500","46300","5300","76100"
"Arizona","335200","536200","102500","973900"
"Arkansas","177400","278700","52100","508200"
"California","1608400","2745400","587100","4940800"
"Colorado","157000","326100","58600","541700"
"Connecticut","109100","202900","46600","358600"
"Delaware","35000","65100","10400","110600"
"District of Columbia","31700","65200","14100","111000"
"Florida","838800","1504400","448000","2791200"
"Georgia","532900","787100","147100","1467200"
"Hawaii","38500","70900","18800","128200"
"Idaho","68700","115600","22300","206600"
"Illinois","464900","853000","167500","1485400"
"Indiana","287500","484300","79000","850800"
"Iowa","104200","200200","38900","343200"
"Kansas","111600","196500","35900","344000"
"Kentucky","229100","420900","73200","723300"
"Louisiana","302200","454700","88300","845200"
"Maine","31300","88500","25100","144900"
"Maryland","154200","297800","66300","518300"
"Massachusetts","173500","394600","98200","666400"
"Michigan","418200","794000","154500","1366700"
"Minnesota","156600","310000","67400","534000"
"Mississippi","207300","312300","56100","575800"
"Missouri","251600","445600","84300","781500"
"Montana","32500","73800","18900","125200"
"Nebraska","69000","121500","24300","214800"
"Nevada","122900","219200","46100","388100"
"New Hampshire","26400","57200","11300","94900"
"New Jersey","275400","434200","110700","820300"
"New Mexico","136900","224500","48900","410300"
"New York","795700","1451900","367400","2615100"
"North Carolina","480200","792900","141100","1414300"
"North Dakota","15900","48500","9800","74200"
"Ohio","516700","894500","168500","1579700"
"Oklahoma","208000","328400","52400","588900"
"Oregon","138200","308400","54100","500700"
"Pennsylvania","451600","873000","184100","1508700"
"Rhode Island","36800","70500","20000","127300"
"South Carolina","250200","411000","83400","744700"
"South Dakota","34400","67000","11800","113100"
"Tennessee","346200","571200","99200","1016600"
"Texas","1606300","2154500","390300","4151100"
"Utah","89000","161700","21400","272200"
"Vermont","12300","41200","13300","66900"
"Virginia","260400","506900","106200","873500"
"Washington","224400","465400","79900","769700"
"West Virginia","90200","185500","35000","310600"
"Wisconsin","187500","350900","71400","609800"
"Wyoming","17300","37800","7300","62400"
"Puerto Rico","359800","757800","250200","1367800"

"Notes"
"The American Community Survey did not release the 1-year estimates for 2020 due to significant disruptions to data collection brought on by the coronavirus pandemic. "
""
"Data may not sum to totals due to rounding."
""
"The U.S. Census Bureau's poverty threshold for a family with two adults and one child was $25,249 in 2024. This is the official measurement of poverty used by the Federal Government, and the measure used for most poverty-based data presented on State Health Facts. The Department of Health and Human Services (HHS) produces simplified - but very similar - versions of these poverty thresholds called ""poverty guidelines"" that are used to assess eligibility for income-based programs such as Medicaid. For more information on measures of poverty, please see the detailed description provided by HHS: [http://aspe.hhs.gov/poverty/faq.cfm](http://aspe.hhs.gov/poverty/faq.cfm). For 2024 and historical thresholds, use [https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html](https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html)."
""
"Data include the civilian noninstitutionalized population in the United States."

"Sources"
"KFF estimates based on the 2008-2024 American Community Survey, 1-Year Estimates."

"Definitions"
"*N/A*: Estimates with relative standard errors greater than 30% are not provided."


Footnotes
"1. US total excludes Puerto Rico."
