"Title: Poverty Rate by Age | KFF State Health Facts"
"Timeframe: 2022"
"Location","Children 0-18","Adults 19-64","65+","Total",Footnotes
"United States","12055800","22534400","6170700","40761000","1"
"Alabama","253800","446800","109600","810200"
"Alaska","26200","43900","9900","79900"
"Arizona","259400","500700","143200","903300"
"Arkansas","157600","268500","68600","494700"
"California","1320000","2581900","704200","4606100"
"Colorado","132100","321900","71800","525900"
"Connecticut","93000","198600","55700","347200"
"Delaware","20500","49700","15600","85800"
"District of Columbia","20000","51100","13800","84900"
"Florida","748700","1450500","564600","2763800"
"Georgia","428000","734400","178500","1340900"
"Hawaii","36600","83900","24700","145200"
"Idaho","59200","104200","28000","191400"
"Illinois","444800","811000","218300","1474100"
"Indiana","246600","469900","107900","824300"
"Iowa","93300","199200","48700","341200"
"Kansas","96600","207200","44100","348000"
"Kentucky","222100","415000","100700","737700"
"Louisiana","268200","441000","114800","824000"
"Maine","26100","82400","30400","138900"
"Maryland","159600","317800","99300","576600"
"Massachusetts","158300","411100","134700","704000"
"Michigan","388800","739300","182700","1310800"
"Minnesota","139200","310600","87400","537100"
"Mississippi","181100","281600","76800","539500"
"Missouri","222700","424900","121700","769200"
"Montana","32900","77300","26400","136600"
"Nebraska","61100","112600","26700","200500"
"Nevada","116600","217700","58300","392600"
"New Hampshire","17100","53800","21400","92300"
"New Jersey","267400","460700","157400","885500"
"New Mexico","108500","203800","54700","367000"
"New York","768800","1492600","453000","2714300"
"North Carolina","412800","735300","195400","1343400"
"North Dakota","21200","49200","12100","82500"
"Ohio","468000","853600","212000","1533700"
"Oklahoma","195300","337600","71400","604300"
"Oregon","118700","296100","79100","493800"
"Pennsylvania","422100","821600","249400","1493100"
"Rhode Island","24800","65200","23500","113600"
"South Carolina","219200","397300","102600","719100"
"South Dakota","28800","52300","17200","98300"
"Tennessee","282800","509300","131300","923400"
"Texas","1467300","2134600","482800","4084700"
"Utah","78700","161500","29300","269600"
"Vermont","15400","37000","9400","61800"
"Virginia","254900","513500","124500","892900"
"Washington","196400","450000","117300","763800"
"West Virginia","86500","174800","44400","305600"
"Wisconsin","171000","341800","105300","618100"
"Wyoming","17100","38300","10300","65700"
"Puerto Rico","317600","706700","301500","1325800"

"Notes"
"The American Community Survey did not release the 1-year estimates for 2020 due to significant disruptions to data collection brought on by the coronavirus pandemic. "
""
"Data may not sum to totals due to rounding."
""
"The U.S. Census Bureau's poverty threshold for a family with two adults and one child was $25,249 in 2024. This is the official measurement of poverty used by the Federal Government, and the measure used for most poverty-based data presented on State Health Facts. The Department of Health and Human Services (HHS) produces simplified - but very similar - versions of these poverty thresholds called ""poverty guidelines"" that are used to assess eligibility for income-based programs such as Medicaid. For more information on measures of poverty, please see the detailed description provided by HHS: [http://aspe.hhs.gov/poverty/faq.cfm](http://aspe.hhs.gov/poverty/faq.cfm). For 2024 and historical thresholds, use [https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html](https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html)."
""
"Data include the civilian noninstitutionalized population in the United States."

"Sources"
"KFF estimates based on the 2008-2024 American Community Survey, 1-Year Estimates."

"Definitions"
"*N/A*: Estimates with relative standard errors greater than 30% are not provided."


Footnotes
"1. US total excludes Puerto Rico."
