"Title: Poverty Rate by Age | KFF State Health Facts"
"Timeframe: 2014"
"Location","Children 0-18","Adults 19-64","65+","Total",Footnotes
"United States","16391400","27406700","4230500","48028600","1"
"Alabama","320700","517300","78800","916800"
"Alaska","32600","53500","2500","88600"
"Arizona","418100","663100","100900","1182000"
"Arkansas","198200","297100","47300","542500"
"California","2152200","3560600","517700","6230500"
"Colorado","205300","387000","45100","637400"
"Connecticut","110400","205500","39700","355600"
"Delaware","40300","66300","10800","117400"
"District of Columbia","30900","64300","9600","104900"
"Florida","1006100","1827900","388200","3222200"
"Georgia","685300","1012900","126300","1824500"
"Hawaii","47400","89300","19500","156200"
"Idaho","82100","134500","21700","238300"
"Illinois","629900","1023000","147100","1800000"
"Indiana","351900","564000","63800","979700"
"Iowa","120800","215300","32600","368600"
"Kansas","129600","223700","30200","383400"
"Kentucky","261500","464300","70300","796100"
"Louisiana","313800","494700","76500","884900"
"Maine","52200","117100","19700","189000"
"Maryland","176600","343700","58300","578700"
"Massachusetts","214100","451800","88500","754400"
"Michigan","496800","929600","125400","1551800"
"Minnesota","182200","354400","56100","592700"
"Mississippi","236500","346000","58600","641000"
"Missouri","297600","522300","82900","902700"
"Montana","46300","100600","13600","160400"
"Nebraska","82500","126800","21200","230500"
"Nevada","145800","238300","31700","415800"
"New Hampshire","39400","71700","9100","120200"
"New Jersey","338400","524700","110400","973400"
"New Mexico","155700","239700","39500","434800"
"New York","965800","1711200","312900","2989900"
"North Carolina","569800","962800","139500","1672100"
"North Dakota","26800","49600","9000","85400"
"Ohio","616000","1032000","140400","1788500"
"Oklahoma","216900","354000","47100","618000"
"Oregon","180100","389000","56200","625400"
"Pennsylvania","528300","980900","165200","1674400"
"Rhode Island","42200","86300","15900","144400"
"South Carolina","297600","478600","68300","844500"
"South Dakota","41200","66100","13800","121100"
"Tennessee","412100","670300","93600","1176000"
"Texas","1821300","2374200","329700","4525100"
"Utah","126300","195500","20900","342700"
"Vermont","15000","38800","7300","61000"
"Virginia","297700","568400","89200","955300"
"Washington","287300","544700","83400","915400"
"West Virginia","89300","204800","27200","321400"
"Wisconsin","236200","425600","62900","724600"
"Wyoming","20700","43300","4300","68300"
"Puerto Rico","470500","893000","251600","1615100"

"Notes"
"The American Community Survey did not release the 1-year estimates for 2020 due to significant disruptions to data collection brought on by the coronavirus pandemic. "
""
"Data may not sum to totals due to rounding."
""
"The U.S. Census Bureau's poverty threshold for a family with two adults and one child was $25,249 in 2024. This is the official measurement of poverty used by the Federal Government, and the measure used for most poverty-based data presented on State Health Facts. The Department of Health and Human Services (HHS) produces simplified - but very similar - versions of these poverty thresholds called ""poverty guidelines"" that are used to assess eligibility for income-based programs such as Medicaid. For more information on measures of poverty, please see the detailed description provided by HHS: [http://aspe.hhs.gov/poverty/faq.cfm](http://aspe.hhs.gov/poverty/faq.cfm). For 2024 and historical thresholds, use [https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html](https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html)."
""
"Data include the civilian noninstitutionalized population in the United States."

"Sources"
"KFF estimates based on the 2008-2024 American Community Survey, 1-Year Estimates."

"Definitions"
"*N/A*: Estimates with relative standard errors greater than 30% are not provided."


Footnotes
"1. US total excludes Puerto Rico."
