"Title: Poverty Rate by Age | KFF State Health Facts"
"Timeframe: 2011"
"Location","Children 0-18","Adults 19-64","65+","Total",Footnotes
"United States","17106700","27343000","3741200","48190800","1"
"Alabama","324000","500500","70700","895200"
"Alaska","28500","39900","3500","71900"
"Arizona","458400","672600","79800","1210800"
"Arkansas","194800","296000","41700","532500"
"California","2213600","3494800","428800","6137200"
"Colorado","223600","398300","43400","665200"
"Connecticut","128600","214600","35400","378600"
"Delaware","39700","59400","8900","108000"
"District of Columbia","33700","67800","9100","110600"
"Florida","1037600","1807300","331000","3175900"
"Georgia","678800","1028900","114100","1821800"
"Hawaii","54000","90400","15800","160200"
"Idaho","83000","141800","14000","238800"
"Illinois","676000","1043000","128400","1847400"
"Indiana","371500","562500","60100","994100"
"Iowa","128600","220700","30100","379400"
"Kansas","144000","223300","25600","392900"
"Kentucky","297000","462300","67700","826900"
"Louisiana","328900","496600","70200","895700"
"Maine","50800","114700","18600","184100"
"Maryland","190200","331600","51900","573700"
"Massachusetts","223500","441000","79700","744200"
"Michigan","563400","967000","113600","1644000"
"Minnesota","195900","357300","53200","606300"
"Mississippi","243700","355400","51000","650100"
"Missouri","318400","535100","71200","924600"
"Montana","42800","82200","11100","136100"
"Nebraska","74300","120000","18300","212500"
"Nevada","153200","247200","31000","431400"
"New Hampshire","31900","69200","11300","112500"
"New Jersey","304500","494500","91200","890200"
"New Mexico","164200","238200","34000","436300"
"New York","990100","1716400","295100","3001600"
"North Carolina","596100","942100","120700","1658900"
"North Dakota","17400","46700","8300","72400"
"Ohio","674300","1047800","120700","1842800"
"Oklahoma","232400","362200","49600","644100"
"Oregon","200800","404100","38400","643200"
"Pennsylvania","554200","965600","152500","1672400"
"Rhode Island","46900","83200","14600","144700"
"South Carolina","310500","480600","65900","857000"
"South Dakota","34800","53900","13000","101700"
"Tennessee","396000","639600","92700","1128300"
"Texas","1898100","2400700","294900","4593800"
"Utah","147100","217900","13600","378500"
"Vermont","19900","40300","5700","65900"
"Virginia","302500","534700","74300","911500"
"Washington","299800","560300","74700","934900"
"West Virginia","102000","206000","27600","335500"
"Wisconsin","262300","430000","60200","752500"
"Wyoming","20800","36900","4400","62100"
"Puerto Rico","532800","923400","216500","1672700"

"Notes"
"The American Community Survey did not release the 1-year estimates for 2020 due to significant disruptions to data collection brought on by the coronavirus pandemic. "
""
"Data may not sum to totals due to rounding."
""
"The U.S. Census Bureau's poverty threshold for a family with two adults and one child was $25,249 in 2024. This is the official measurement of poverty used by the Federal Government, and the measure used for most poverty-based data presented on State Health Facts. The Department of Health and Human Services (HHS) produces simplified - but very similar - versions of these poverty thresholds called ""poverty guidelines"" that are used to assess eligibility for income-based programs such as Medicaid. For more information on measures of poverty, please see the detailed description provided by HHS: [http://aspe.hhs.gov/poverty/faq.cfm](http://aspe.hhs.gov/poverty/faq.cfm). For 2024 and historical thresholds, use [https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html](https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html)."
""
"Data include the civilian noninstitutionalized population in the United States."

"Sources"
"KFF estimates based on the 2008-2024 American Community Survey, 1-Year Estimates."

"Definitions"
"*N/A*: Estimates with relative standard errors greater than 30% are not provided."


Footnotes
"1. US total excludes Puerto Rico."
