"Title: Poverty Rate by Age | KFF State Health Facts"
"Timeframe: 2017"
"Location","Children 0-18","Adults 19-64","65+","Total",Footnotes
"United States","13907500","23921000","4558400","42386900","1"
"Alabama","273800","445000","77200","796000"
"Alaska","28300","48100","6900","83200"
"Arizona","344400","560300","103800","1008400"
"Arkansas","160500","260400","50200","471000"
"California","1688400","2879700","549600","5117700"
"Colorado","158400","345600","59300","563300"
"Connecticut","94700","191000","40300","326000"
"Delaware","35300","70400","14600","120300"
"District of Columbia","32300","64700","10900","107900"
"Florida","881500","1570600","426100","2878300"
"Georgia","550500","843300","140400","1534200"
"Hawaii","41200","78400","24100","143700"
"Idaho","72500","126600","22300","221400"
"Illinois","516400","909700","155600","1581700"
"Indiana","291000","507400","74300","872700"
"Iowa","85000","190500","33900","309400"
"Kansas","109300","196100","31900","337300"
"Kentucky","236800","442100","69200","748100"
"Louisiana","328000","494600","83900","906500"
"Maine","34400","92700","21200","148400"
"Maryland","167900","318700","68800","555500"
"Massachusetts","194500","400200","95100","689800"
"Michigan","442200","802000","137700","1381900"
"Minnesota","161800","311100","58500","531400"
"Mississippi","198500","307500","62400","568300"
"Missouri","254900","450300","82000","787200"
"Montana","33500","82300","13500","129200"
"Nebraska","68900","110300","18900","198000"
"Nevada","131800","218200","36900","386900"
"New Hampshire","27500","56300","13100","96800"
"New Jersey","278100","469000","112200","859300"
"New Mexico","131000","225200","43100","399400"
"New York","835400","1517500","345500","2698400"
"North Carolina","509900","825800","143100","1478800"
"North Dakota","15000","44700","11400","71100"
"Ohio","528400","896100","144900","1569400"
"Oklahoma","204000","330300","50600","584900"
"Oregon","146900","327500","62500","536800"
"Pennsylvania","470100","897300","185600","1552900"
"Rhode Island","35900","69200","13700","118800"
"South Carolina","248700","424200","77700","750500"
"South Dakota","31700","59900","10500","102200"
"Tennessee","329600","562000","92300","983900"
"Texas","1570600","2107700","360700","4039000"
"Utah","104600","165600","22000","292100"
"Vermont","16300","43200","7200","66700"
"Virginia","263200","498900","90400","852400"
"Washington","254800","468400","87600","810800"
"West Virginia","95300","204800","36400","336500"
"Wisconsin","174600","370000","71000","615600"
"Wyoming","19200","39800","7500","66500"
"Puerto Rico","402200","814500","254400","1471100"

"Notes"
"The American Community Survey did not release the 1-year estimates for 2020 due to significant disruptions to data collection brought on by the coronavirus pandemic. "
""
"Data may not sum to totals due to rounding."
""
"The U.S. Census Bureau's poverty threshold for a family with two adults and one child was $25,249 in 2024. This is the official measurement of poverty used by the Federal Government, and the measure used for most poverty-based data presented on State Health Facts. The Department of Health and Human Services (HHS) produces simplified - but very similar - versions of these poverty thresholds called ""poverty guidelines"" that are used to assess eligibility for income-based programs such as Medicaid. For more information on measures of poverty, please see the detailed description provided by HHS: [http://aspe.hhs.gov/poverty/faq.cfm](http://aspe.hhs.gov/poverty/faq.cfm). For 2024 and historical thresholds, use [https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html](https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html)."
""
"Data include the civilian noninstitutionalized population in the United States."

"Sources"
"KFF estimates based on the 2008-2024 American Community Survey, 1-Year Estimates."

"Definitions"
"*N/A*: Estimates with relative standard errors greater than 30% are not provided."


Footnotes
"1. US total excludes Puerto Rico."
