"Title: Poverty Rate by Age | KFF State Health Facts"
"Timeframe: 2021"
"Location","Children 0-18","Adults 19-64","65+","Total",Footnotes
"United States","12836800","22913400","5634500","41384700","1"
"Alabama","251500","433200","98500","783300"
"Alaska","25300","44000","7700","76900"
"Arizona","289300","496100","129500","914800"
"Arkansas","163000","257400","61300","481600"
"California","1441200","2635000","652200","4728400"
"Colorado","152600","338900","66900","558400"
"Connecticut","97600","199900","55900","353400"
"Delaware","33700","62100","13600","109400"
"District of Columbia","30200","62600","11700","104500"
"Florida","781300","1517700","502200","2801200"
"Georgia","529200","792800","154700","1476800"
"Hawaii","40700","85500","27500","153800"
"Idaho","67900","111200","29300","208400"
"Illinois","451400","828700","202400","1482600"
"Indiana","258000","447100","91500","796600"
"Iowa","94300","202000","47500","343800"
"Kansas","96600","196700","47500","340900"
"Kentucky","228700","404300","88500","721400"
"Louisiana","290200","479600","106900","876700"
"Maine","39200","97000","26400","162600"
"Maryland","191100","334200","85900","611300"
"Massachusetts","178700","398500","127000","704200"
"Michigan","406400","728700","170800","1306000"
"Minnesota","131200","286000","79400","496600"
"Mississippi","198300","287700","67400","553400"
"Missouri","232300","429800","100000","762100"
"Montana","32700","70600","18200","121600"
"Nebraska","55200","110000","30200","195400"
"Nevada","132500","244100","58200","434800"
"New Hampshire","23300","51300","19800","94500"
"New Jersey","299100","498100","140600","937800"
"New Mexico","119300","217100","49500","385900"
"New York","777300","1492400","415200","2684900"
"North Carolina","446400","769100","180300","1395800"
"North Dakota","17500","43900","11500","72900"
"Ohio","496700","836000","192500","1525200"
"Oklahoma","203900","327900","67300","599100"
"Oregon","124700","320500","75000","520300"
"Pennsylvania","478400","820000","227900","1526400"
"Rhode Island","32500","69100","19500","121000"
"South Carolina","239700","409100","99900","748700"
"South Dakota","32000","60900","15300","108200"
"Tennessee","279300","534400","118800","932600"
"Texas","1517500","2155600","451200","4124300"
"Utah","74600","162800","30100","267500"
"Vermont","11300","42000","11000","64400"
"Virginia","257300","489000","112600","858900"
"Washington","212100","460900","99900","772900"
"West Virginia","75000","175300","41400","291700"
"Wisconsin","180900","356400","89400","626700"
"Wyoming","17800","39800","6500","64200"
"Puerto Rico","314500","713800","278600","1306900"

"Notes"
"The American Community Survey did not release the 1-year estimates for 2020 due to significant disruptions to data collection brought on by the coronavirus pandemic. "
""
"Data may not sum to totals due to rounding."
""
"The U.S. Census Bureau's poverty threshold for a family with two adults and one child was $25,249 in 2024. This is the official measurement of poverty used by the Federal Government, and the measure used for most poverty-based data presented on State Health Facts. The Department of Health and Human Services (HHS) produces simplified - but very similar - versions of these poverty thresholds called ""poverty guidelines"" that are used to assess eligibility for income-based programs such as Medicaid. For more information on measures of poverty, please see the detailed description provided by HHS: [http://aspe.hhs.gov/poverty/faq.cfm](http://aspe.hhs.gov/poverty/faq.cfm). For 2024 and historical thresholds, use [https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html](https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html)."
""
"Data include the civilian noninstitutionalized population in the United States."

"Sources"
"KFF estimates based on the 2008-2024 American Community Survey, 1-Year Estimates."

"Definitions"
"*N/A*: Estimates with relative standard errors greater than 30% are not provided."


Footnotes
"1. US total excludes Puerto Rico."
