"Title: Poverty Rate by Age | KFF State Health Facts"
"Timeframe: 2009"
"Location","Children 0-18","Adults 19-64","65+","Total",Footnotes
"United States","15366300","23752900","3602200","42721400","1"
"Alabama","284200","439500","69400","793000"
"Alaska","25300","34400","1600","61400"
"Arizona","417600","580700","70700","1069000"
"Arkansas","196400","273200","45600","515200"
"California","1930200","2837200","356300","5123700"
"Colorado","225300","363700","43700","632800"
"Connecticut","103900","195300","26900","326100"
"Delaware","33500","53600","8000","95100"
"District of Columbia","35900","60000","9400","105300"
"Florida","894600","1476100","316800","2687500"
"Georgia","583700","839600","115200","1538500"
"Hawaii","39100","76300","12400","127800"
"Idaho","80000","122300","15300","217700"
"Illinois","615700","927000","130900","1673700"
"Indiana","320700","505800","60900","887400"
"Iowa","119300","190600","31900","341800"
"Kansas","125900","196700","28000","350600"
"Kentucky","267500","441500","67000","776000"
"Louisiana","288100","407400","65800","761200"
"Maine","47900","91300","18500","157600"
"Maryland","162500","292400","53500","508500"
"Massachusetts","199300","384800","74600","658700"
"Michigan","539200","907100","105200","1551400"
"Minnesota","180900","328600","55500","565000"
"Mississippi","242700","321900","52800","617400"
"Missouri","302900","474100","68300","845400"
"Montana","45200","83600","11700","140500"
"Nebraska","68500","120500","17700","206700"
"Nevada","123100","176600","22600","322300"
"New Hampshire","31600","66600","12300","110500"
"New Jersey","289100","430800","89000","808800"
"New Mexico","141100","185400","31000","357500"
"New York","905400","1479500","289500","2674400"
"North Carolina","523700","831500","114300","1469500"
"North Dakota","17500","40300","10300","68200"
"Ohio","608700","974000","126600","1709300"
"Oklahoma","215100","320400","48300","583800"
"Oregon","178800","324300","41900","545000"
"Pennsylvania","501000","857600","159300","1517900"
"Rhode Island","38300","63400","12500","114200"
"South Carolina","272500","414100","67600","754200"
"South Dakota","38400","58900","13000","110300"
"Tennessee","359500","585100","89600","1034200"
"Texas","1733000","2132400","290100","4155500"
"Utah","110400","189000","18600","317900"
"Vermont","18000","40700","6200","64900"
"Virginia","270300","457900","77200","805500"
"Washington","268000","478700","56200","802900"
"West Virginia","93200","187100","27700","308000"
"Wisconsin","236500","403200","60400","7.00E+05"
"Wyoming","17200","29800","4500","51500"
"Puerto Rico","576300","965800","220200","1762400"

"Notes"
"The American Community Survey did not release the 1-year estimates for 2020 due to significant disruptions to data collection brought on by the coronavirus pandemic. "
""
"Data may not sum to totals due to rounding."
""
"The U.S. Census Bureau's poverty threshold for a family with two adults and one child was $25,249 in 2024. This is the official measurement of poverty used by the Federal Government, and the measure used for most poverty-based data presented on State Health Facts. The Department of Health and Human Services (HHS) produces simplified - but very similar - versions of these poverty thresholds called ""poverty guidelines"" that are used to assess eligibility for income-based programs such as Medicaid. For more information on measures of poverty, please see the detailed description provided by HHS: [http://aspe.hhs.gov/poverty/faq.cfm](http://aspe.hhs.gov/poverty/faq.cfm). For 2024 and historical thresholds, use [https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html](https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html)."
""
"Data include the civilian noninstitutionalized population in the United States."

"Sources"
"KFF estimates based on the 2008-2024 American Community Survey, 1-Year Estimates."

"Definitions"
"*N/A*: Estimates with relative standard errors greater than 30% are not provided."


Footnotes
"1. US total excludes Puerto Rico."
