"Title: Poverty Rate by Age | KFF State Health Facts"
"Timeframe: 2023"
"Location","Children 0-18","Adults 19-64","65+","Total",Footnotes
"United States","11907800","22194300","6489000","40591100","1"
"Alabama","243600","420100","108400","772000"
"Alaska","20000","47300","7000","74300"
"Arizona","253000","489800","159500","902300"
"Arkansas","137400","250800","63800","452100"
"California","1302500","2522700","742900","4568100"
"Colorado","137600","312000","87200","536800"
"Connecticut","100000","198900","61600","360500"
"Delaware","31900","57500","17800","107300"
"District of Columbia","20400","53900","15300","89600"
"Florida","710500","1424000","578300","2712800"
"Georgia","481000","779500","194900","1455400"
"Hawaii","32200","81700","32800","146700"
"Idaho","54000","107400","29900","191300"
"Illinois","397600","784200","227300","1409100"
"Indiana","252700","455000","109000","816600"
"Iowa","99700","193900","50900","344500"
"Kansas","92800","183200","47300","323300"
"Kentucky","223300","411300","98300","732900"
"Louisiana","276000","450300","106600","832900"
"Maine","30200","81700","29900","141800"
"Maryland","150900","319600","100000","570600"
"Massachusetts","173000","396700","137200","706900"
"Michigan","383900","742200","200200","1326300"
"Minnesota","131400","296000","94500","522000"
"Mississippi","160500","269500","77700","507700"
"Missouri","191400","395600","118300","705300"
"Montana","30300","75400","19800","125500"
"Nebraska","51900","108900","33800","194600"
"Nevada","109500","205100","58300","372900"
"New Hampshire","17600","55000","21600","94300"
"New Jersey","259700","459800","167000","886400"
"New Mexico","114300","190200","55800","360300"
"New York","739900","1441100","498400","2679400"
"North Carolina","419600","725200","208900","1353800"
"North Dakota","16000","44400","15600","76000"
"Ohio","461600","835300","231500","1528400"
"Oklahoma","210500","342200","72800","625500"
"Oregon","116000","307100","85500","508600"
"Pennsylvania","418400","825200","259200","1502800"
"Rhode Island","26900","59000","24600","110500"
"South Carolina","220800","385800","107600","714300"
"South Dakota","38400","59700","13800","111900"
"Tennessee","312200","516800","148400","977400"
"Texas","1440400","2132000","503900","4076300"
"Utah","99000","178800","32700","310500"
"Vermont","8600","40400","12900","61900"
"Virginia","241000","480000","135800","856800"
"Washington","201500","449200","123800","774500"
"West Virginia","74000","166700","44500","285300"
"Wisconsin","172000","346200","109600","627700"
"Wyoming","20300","39800","6400","66500"
"Puerto Rico","285800","664600","299300","1249700"

"Notes"
"The American Community Survey did not release the 1-year estimates for 2020 due to significant disruptions to data collection brought on by the coronavirus pandemic. "
""
"Data may not sum to totals due to rounding."
""
"The U.S. Census Bureau's poverty threshold for a family with two adults and one child was $25,249 in 2024. This is the official measurement of poverty used by the Federal Government, and the measure used for most poverty-based data presented on State Health Facts. The Department of Health and Human Services (HHS) produces simplified - but very similar - versions of these poverty thresholds called ""poverty guidelines"" that are used to assess eligibility for income-based programs such as Medicaid. For more information on measures of poverty, please see the detailed description provided by HHS: [http://aspe.hhs.gov/poverty/faq.cfm](http://aspe.hhs.gov/poverty/faq.cfm). For 2024 and historical thresholds, use [https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html](https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html)."
""
"Data include the civilian noninstitutionalized population in the United States."

"Sources"
"KFF estimates based on the 2008-2024 American Community Survey, 1-Year Estimates."

"Definitions"
"*N/A*: Estimates with relative standard errors greater than 30% are not provided."


Footnotes
"1. US total excludes Puerto Rico."
