"Title: Poverty Rate by Age | KFF State Health Facts"
"Timeframe: 2008"
"Location","Children 0-18","Adults 19-64","65+","Total",Footnotes
"United States","13935600","21406600","3683300","39025500","1"
"Alabama","255900","386100","73500","715400"
"Alaska","20800","30700","N/A","53100"
"Arizona","368100","486600","74200","928900"
"Arkansas","176800","247600","49400","473800"
"California","1792100","2627300","346400","4765900"
"Colorado","186400","324800","43500","554600"
"Connecticut","104700","175800","35500","316000"
"Delaware","35600","51100","8100","94800"
"District of Columbia","30500","57200","10300","97900"
"Florida","752700","1279200","322300","2354100"
"Georgia","526900","732300","114900","1374100"
"Hawaii","29000","72100","12100","113200"
"Idaho","77800","110100","12600","200500"
"Illinois","561800","826200","139300","1527300"
"Indiana","296800","443400","66900","807100"
"Iowa","109900","197000","32100","339000"
"Kansas","105000","168700","28200","301900"
"Kentucky","248900","402100","73800","724800"
"Louisiana","272300","387800","69700","729800"
"Maine","49100","96600","17200","162900"
"Maryland","147900","249800","52600","450300"
"Massachusetts","175800","364300","81400","621500"
"Michigan","493100","814900","107300","1415400"
"Minnesota","149300","297400","50500","497200"
"Mississippi","233400","299300","58100","590700"
"Missouri","273900","431400","71300","776700"
"Montana","49000","76400","13000","138400"
"Nebraska","69100","103700","21400","194200"
"Nevada","102600","163100","25400","291100"
"New Hampshire","25800","57100","13600","96500"
"New Jersey","260600","387300","86600","734500"
"New Mexico","128600","171400","34200","334100"
"New York","865900","1416200","289100","2571100"
"North Carolina","463800","709000","123800","1296500"
"North Dakota","21600","38400","10900","70900"
"Ohio","521300","841900","131900","1495100"
"Oklahoma","210000","295900","50500","556500"
"Oregon","161600","301800","42000","505400"
"Pennsylvania","473100","800900","165100","1439100"
"Rhode Island","33900","65600","15700","115300"
"South Carolina","236300","373100","71000","680400"
"South Dakota","39400","48400","11600","99400"
"Tennessee","322000","514600","90600","927300"
"Texas","1569600","1904800","287900","3762300"
"Utah","93300","146700","16700","256600"
"Vermont","18300","40400","6200","65000"
"Virginia","268000","426800","74700","769500"
"Washington","240500","422700","60900","724100"
"West Virginia","86300","179800","28300","294400"
"Wisconsin","183200","331300","54800","569300"
"Wyoming","17400","29500","4800","51700"
"Puerto Rico","584400","954000","225300","1763700"

"Notes"
"The American Community Survey did not release the 1-year estimates for 2020 due to significant disruptions to data collection brought on by the coronavirus pandemic. "
""
"Data may not sum to totals due to rounding."
""
"The U.S. Census Bureau's poverty threshold for a family with two adults and one child was $25,249 in 2024. This is the official measurement of poverty used by the Federal Government, and the measure used for most poverty-based data presented on State Health Facts. The Department of Health and Human Services (HHS) produces simplified - but very similar - versions of these poverty thresholds called ""poverty guidelines"" that are used to assess eligibility for income-based programs such as Medicaid. For more information on measures of poverty, please see the detailed description provided by HHS: [http://aspe.hhs.gov/poverty/faq.cfm](http://aspe.hhs.gov/poverty/faq.cfm). For 2024 and historical thresholds, use [https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html](https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html)."
""
"Data include the civilian noninstitutionalized population in the United States."

"Sources"
"KFF estimates based on the 2008-2024 American Community Survey, 1-Year Estimates."

"Definitions"
"*N/A*: Estimates with relative standard errors greater than 30% are not provided."


Footnotes
"1. US total excludes Puerto Rico."
